รหัสสินค้า,ชื่อสินค้า,  ราคา  
13294/6,0.5นิ้วx10หลา TR1 10ม้วน ก.แดง SOS PLUS เทปแต่งแผลชนิดใส (ก.10ม้วน), 112.50 
2-98/6,0.5นิ้วx1.5หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.24ม้วน), 136.00 
2-98/5,0.5นิ้วx2.5หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.12ม้วน), 82.00 
2-98/7,0.5นิ้วx5หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.12ม้วน) (ก.12ม้วน), 149.00 
2-441/4,0.5นิ้วx5หลา แพค12ม้วนTigerplast Caripore Clear tape (NEOPORE) (แพค) (ก.1ม้วน), 13.50 
13294/10,10cmx10m TIGERPLAST CARIFIX STRETCH แคริฟิกซ์ สเตรช (ก.1ม้วน), 268.50 
13295/2,10cmx1m SOS PU ROLL แผ่นฟิล์มใสกันน้ำ (ก.1ม้วน), 93.00 
13294/2,10cmx1m SOS TAPE ROLL R8 เทปผ้าแต่งแผล carifix (ก.1ม้วน), 25.50 
13294,10cmx1m TIGERPLAST CARIFIX STRETCH แคริฟิกซ์ สเตรช (ก.1ม้วน), 34.50 
13295,10cmx1m TIGERPLAST CARIFIX WATERPROOF ชนิดฟิล์มใสกันน้ำ แคริฟิกซ์ สเตรช (ก.1ม้วน), 89.00 
13282/11,10cmx2m Cariband Tigerpast ผ้าพันแผล ยึดติดเอง [Easifix cohesive] (กล่อง10ม้วน) (ก.10ม้วน), 688.25 
3217/11,"10PROBIOTICS 3gx20ซอง เท็นโปรไบโอติก 250,000ล้านตัว (ก.30ซอง)", 480.00 
8682,19x56mm TIGERPLAST WATERPROOF FIT 1x16ชิ้น (ก.16ชิ้น), 29.50 
1734/1,1 x10yds RHINOTAPE SPORT TAPE 1x12roll (กระบอก), 432.00 
1734/2,1 x10yds SPORT TAPE 1x1s [SOS] (ก.1ม้วน), 29.00 
13294/5,1นิ้วx10หลา 12ม้วน Transpore TR3 SOS PLUS เทปแต่งแผลชนิดใส (ก.12ม้วน), 271.00 
1734/4,1นิ้วx10หลา BIO SPORT TAPE แบบรุพรุน (กระบอก12ม้วน) (กระบอก), 357.00 
1731/5,1นิ้วx10หลา Neoplast Neoclear เทปแปะผ้าก๊อซ ชนิดใส (ก.12ม้วน), 254.00 
1734,1นิ้วx10หลา NEOTAPE กระบอก (กระบอก), 395.00 
1731/3,1นิ้วx10หลา Rhinopore 1นิ้วx10หลา เทปแปะผ้าก๊อซใส (ก.12ม้วน) (ก.12ม้วน), 385.00 
2-441/5,1นิ้วx10หลา Tigerplast Caripore paper แพค12ม้วน (micropore) (ก.1ม้วน) (ก.1ม้วน), 30.25 
2-441/1,1นิ้วx10หลา แพค12ม้วน Tigerplast Caripore Clear tape (NEOPORE) (ก.1ม้วน), 30.50 
1731/6,1นิ้วx5หลา Neoplast Neoclear เทปแปะผ้าก๊อซ ชนิดใส (ก.12ม้วน), 219.00 
1731/2,1นิ้วx5หลา Rhinopore เทปแปะผ้าก๊อซใส (ก.12ม้วน) (ก.12ม้วน), 314.00 
1735/6,1นิ้วx5หลา Rhinotape สีน้ำตาล Porous Brown มีกล่อง (ก.12ม้วน) (ก.12ม้วน), 310.00 
2-441/2,1นิ้วx5หลา Tigerplast Caripore Clear tape แพค12ม้วน (NEOPORE) (แพค) (ก.1ม้วน), 23.75 
13282/7,2.5cm x 2m Cariband Tigerpast ผ้าพันแผล ยึดติดเอง [Easifix cohesive] (ก.10ม้วน), 436.50 
13282/17,2.5cm x 4m Rhino Easifix ผ้าพันแผล ยึดติดเอง (ก.10ม้วน), 219.00 
07969/2,2in1 ที่ตัดยาเม็ด/บดยา ตัดเม็ดยา 5x6.4cm มีโปรซื้อเยอะ (อัน), 29.00 
207/2,2% LIDOCAINE HCL INJECTION 20mg/50ml บ ขาด (ก.1ขวด), 32.00 
1732/1,2 x10yds RHINOTAPE SPORT TAPE 1x6roll (กระบอก), 432.00 
1734/5,2 x10yds SPORT TAPE 1x1s [SOS] (ก.1ม้วน), 58.50 
