รหัสสินค้า,ชื่อสินค้า,ราคา
P-9465,ยาดม VAPEX 2ml (6หลอด/กล่อง),19.50
P-9464,VAPEX HR 5ml (6ขวด/แพ็ค) **แพ็คเกจใหม่,29.00
P-9463,ZAMBUK 8g (12ตลับ/กล่อง) เล็ก **แพ็คเกจใหม่,23.00
P-9413,NUHAIR 5 30ml,280.00
P-9412,NUHAIR 5 60ml,490.00
P-9397,ANTACIL PLUS (50x10's),813.00
P-9396,ยาคุม DERAREZ (21's),229.00
P-9389,VENUZ ONE ยาคุมฉุกเฉินเม็ดเดี่ยว (1x10x1's) **แพ็คเกจใหม่,12.50
P-9388,DENTISTE แปรงลิ้น,58.00
P-9387,KLEARLY PROBIOTIC 75g (กล่อง25ซอง),240.00
P-9386,EAZI EASING 10g,45.00
P-9380,แพ็คคู่ BLACKMORES BIOTIN H+ (2x60's),940.00
P-9373,DIFFLAM 1.5MG CHILDREN SPRAY 30ml เด็ก,217.00
P-9368,EDARBYCLOR 40/12.5mg (2x14's) **แพ็คเกจใหม่,778.00
P-9345,แปรงสีฟัน TOTALCARE TOOTHBRUSH,48.00
P-9344,DENTALPRO ไหมขัดฟันพร้อมด้ามจับ (50ชิ้น/แพ็ค),47.00
P-9342,DENTALPRO FLOSS 30m ไหมขัดฟัน,58.00
P-9340,SWISSE MAGNESIUM GLYCINATE (60's),515.00
P-9339,SWISSE L-THEANINE G'NIGHT (50's),735.00
P-9337,"SWISSE VIT-C 1,000 EFFERVESCENT (20's)",253.00
P-9336,SWISSE COLLAGEN GOLD (60's),520.00
P-9334,RHINOCET TABLET (1x10's),82.00
P-9333,NEUROBION (6x10's) *แพ็คเกจใหม่,265.00
P-9331,MONKAST-5 (2x14's),126.00
P-9330,METFOR 850 (10x10's),79.00
P-9329,METFOR 500 (10x10's),48.00
P-9328,MCXY KLEAR (10x20ml) น้ำเกลือล้างจมูก,52.00
P-9327,MCXY KLEAR (5x20ml) น้ำเกลือ ล้างจมูก,38.00
P-9326,AMSEL MAGNESIUM BISGLYCINATE PLUS (30's),200.00
P-9325,HANDY HERB JELLY KIDS DHA 30g (12ซอง/กล่อง),230.00
P-9324,HANDY HERB JELLY KIDS FIBER 30g (12ซอง/กล่อง),230.00
P-9323,HANDY HERB JELLY KIDS VIT-C 30g (12ซอง/กล่อง),230.00
P-9322,HANDY HERB JELLY KIDS CALCIUM 30g (12ซอง/กล่อง),230.00
P-9321,HANDY HERB G'NITE EXTRA GUMMY 24g (6ซอง/กล่อง),248.00
P-9320,HANDY HERB FIBER GUMMY มะขาม 22g (6ซอง/กล่อง),170.00
P-9319,HANDY HERB FIBER GUMMY APPLE CIDER 22g (6ซอง/กล่อง),170.00
P-9318,HANDY HERB G'NITE COLLAGEN GUMMY 24g (6ซอง/กล่อง),170.00
P-9314,LA ROCHE-POSAY HYALU B5 SERUM 30 ml **แพ็คเกจใหม่,"1,080.00"
P-9304,CETAPHIL CLEANSER 236ml **แพ็คเกจใหม่,282.00
P-9303,สเปรย์แก้ไอตราตะขาบ 5 ตัว 20ml *ขายขาด,84.00
