รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
4856,CERAVE MOISTURISING Cream 48 g,ราคา 165.00 บาท
4855,CERAVE HYDRATING CREAM TO FOAM CLEANSER 100 ml,ราคา 215.00 บาท
4854,CERAVE MOISTURISING Lotion 88 ml,ราคา 195.00 บาท
4853,CERAVE HYDRATING Cleanser 88 ml,ราคา 155.00 บาท
4852,CERAVE HYDRATING HYALURONIC ACID Serum 30 ml,ราคา 515.00 บาท
4851,CERAVE MOISTURISING Cream 454 g,ราคา 595.00 บาท
4847,OXETINE 20 mg 50X10's (PML),ราคา 8.00 บาท
4845,FATEC Syrup 100 ml (Pharmahof),ราคา 42.00 บาท
4844,เครื่องตรวจน้ำตาล GLUCO ONE รุ่น BG-03,ราคา 380.00 บาท
4843,เกลือแร่ ซีร่า CERA กลิ่นผลไม้รวม 10X25g/กล่อง (CMED),ราคา 45.00 บาท
4841,MEGA NAT CAL PLUS (3X10's),ราคา 538.00 บาท
4837,เครื่องนวดไฟฟ้า OMRON รุ่น HV-F021,"ราคา 1,920.00 บาท"
4836,เครื่องชั่งน้ำหนักสีน้ำเงิน 130 KG รุ่น BR9201 (2B),ราคา 285.00 บาท
4835,อภัยภูเบศร ยาอมแก้ไอ ผสมมะขามป้อม สูตร 1 PACK 1X40'sX10 ซอง,ราคา 85.00 บาท
4833,PLU-LIS MAX REFRESHING MOUTH Spray 15 ml,ราคา 118.00 บาท
4832,ยาอมเซนฮามี่ 20 เม็ด/กล่อง,ราคา 35.00 บาท
4831,PROPOLIZ VIT C Lozenge 10X8's (T.MAN),ราคา 150.00 บาท
4830,อภัยภูเบศร ยาอมแก้ไอ ผสมมะขามป้อม สูตร 2 PACK 1X40'sX10 ซอง,ราคา 85.00 บาท
4829,ASUMOL 120mg/5ml รสแอปเปิ้ล 60 ml (AU),ราคา 17.00 บาท
4828,GINKGO 246 กิงโก 30's,ราคา 98.50 บาท
4827,I FEN Syrup 60 ml (PATAR),ราคา 20.00 บาท
4826,BELCID GERD Suspension 12X10ml (BIOPHARM),ราคา 120.00 บาท
4821,LOCERYL NAIL Lacquer 2.5 ml,"ราคา 1,520.00 บาท"
4820,NEXCARE TRANSPORE เทปแต่งแผลชนิดใส (3 inch x 10 yds) 1 ม้วน/กล่อง - 3M,ราคา 60.00 บาท
4819,MEDICET 5 mg 1X10's (Medicpharma),ราคา 54.00 บาท
4818,PROVAMED ACNICLEAR MOISTURE Serum 30 g,ราคา 220.00 บาท
4816,PROVAMED PRO-BALANCE UV SPF 50+,ราคา 260.00 บาท
4815,SOS Plus CO-ADHESIVE BANDAGE (1 inch x 5 yds) 1 ม้วน/กล่อง,ราคา 28.50 บาท
4814,SOS Plus CO-ADHESIVE BANDAGE (3 inch x 5 yds) 1 ม้วน/กล่อง,ราคา 62.00 บาท
4813,FITT-C VITAMIN C 500 mg 3X10's (CMED),ราคา 95.00 บาท
4812,PROVAMED SOLARIS FACE SPF 50+,ราคา 210.00 บาท
4810,SYRINGE ไซริงค์แก้ว 50 ml,ราคา 192.00 บาท
4809,BRUSTAN กล่อง (10x10's),ราคา 165.00 บาท
4807,ยาน้ำแก้ไอ ตราไอ-เฮิร์บ โอทีซี i-HERB 60 ml,ราคา 21.00 บาท
4805,ชุดตรวจโควิด TEST COVID-19 HIP BIOtech 2in1 ATK (ตรวจน้ำลาย/โพรงจมูก),ราคา 19.00 บาท
4804,OILEZZ 1X22's,ราคา 240.00 บาท
4803,SIAMIDINE 400 mg 10X10's (SIAM),ราคา 133.00 บาท
4802,ASCEE Lozenge 500 mg 15's (BLHUA),ราคา 33.00 บาท
4801,MOXXO DRY Syrup (125mg/5ml) 60 ml,ราคา 21.00 บาท
4800,BISOLVON Tablets 10X10' (SANOFI),ราคา 490.00 บาท
4799,MOXXO FORTE DRY Syrup (250mg/5ml) 60 ml,ราคา 32.00 บาท
4797,เกลือแร่ รอแยลดี ROYAL-D รสส้ม 10X25g/กล่อง,ราคา 38.00 บาท
4796,GOGAZ 5X10's/แพ็ก (MEGA),ราคา 160.00 บาท
4795,LORSEDIN 10 mg 10X10's (SIAM),ราคา 162.00 บาท
4794,SINGKAST 4 mg Chewable 28's,ราคา 460.00 บาท
4793,MUCOSOLVAN 30 mg 10X10's (SANOFI),ราคา 570.00 บาท
4792,PROVAMED SCAR SILICONE 10 g,ราคา 238.00 บาท
4789,ไม้เท้าขาเดียวพับได้,ราคา 440.00 บาท
4787,BOOST FIBER ผสม 3 ใยอาหาร 800 g (Nestle),ราคา 778.00 บาท
4786,BETALOL 40 mg 10X10's (BERLIN),ราคา 80.00 บาท
4785,MASK G-LUCKY 3D หน้ากากอนามัย สำหรับผู้ใหญ่ สีขาว 40 ชิ้น/กล่อง,ราคา 85.00 บาท
4783,CLINICOLD 50X10's (BKD),ราคา 13.50 บาท
4753,PROVAMED ACEROLA C WHIP FOAM 80 g,ราคา 80.00 บาท
4752,CLINICOF 10's (BKD),ราคา 17.00 บาท
4751,RHINOPORE FIRST AID TAPE (1 inch x 5 yds) 1 ม้วน,ราคา 27.50 บาท
4750,ELASTIC BANDAGE RSC 2 inch ผ้าพันเคล็ด 12 ม้วน/โหล,ราคา 80.00 บาท
4749,ELASTIC BANDAGE RSC 3 inch ผ้าพันเคล็ด 12 ม้วน/โหล,ราคา 120.00 บาท
4748,ELASTIC BANDAGE RSC 4 inch ผ้าพันเคล็ด 12 ม้วน/โหล,ราคา 160.00 บาท
4747,EUCALYPTUS Spray 300 ml ตราจิงโจ้ (รุ่นแพ็ก),ราคา 395.00 บาท
4746,ยาน้ำมันเลียงผา ตราแม่กุหลาบ 20 ml,ราคา 80.00 บาท
4741,MYOPAS 100X10's (T.MAN),ราคา 460.00 บาท
4740,MILTEAR EYE Drops น้ำตาเทียม 10 ml (Millimed),เหลือ 64.00 บาท
4739,MELLUTEAR EYE Drops น้ำตาเทียม 30X0.4ml/กล่อง (Millimed),ราคา 210.00 บาท
4738,ไวท์ฟาร์ม นมอัดเม็ด กลิ่นสตรอเบอร์รี่ 10 ซอง/กล่อง,ราคา 80.00 บาท
4736,AQUA MARIS NASAL Spray 20 ml (FRX),ราคา 255.00 บาท
4733,MUCOLID SF 600 mg 30X7g/กล่อง (GREATER),ราคา 320.00 บาท
4732,CHALKCAP 1000 mg (10X10's),ราคา 175.00 บาท
4731,DIMENHYDRINATE 100X10's (NL),ราคา 250.00 บาท
4729,ถ้วยทองโอสถ ยาดมกลิ่นลาเวนเดอร์ 12 หลอด/โหล,ราคา 175.00 บาท
4728,ถ้วยทองโอสถ ยาดมกลิ่นเลมอน 12 หลอด/โหล,ราคา 175.00 บาท
4727,ยาดม ตราอินโน 12X2g/โหล,ราคา 320.00 บาท
4726,TIGER BLAM ยาน้ำมันตราเสือ 28 ml,ราคา 88.00 บาท
4725,DEHEC-Z Syrup 60 ml (Macrophar),ราคา 78.00 บาท
4724,ESLORAY Syrup 60 ml (Meiji),ราคา 136.00 บาท
4723,ALLORA Syrup 60 ml,ราคา 60.00 บาท
4720,CYSTALINE 600 mg 10's (Millimed),เหลือ 105.00 บาท
4719,ASUMOL 120mg/5ml รสส้ม 60 ml (AU),ราคา 17.00 บาท
4718,ASUMOL 120mg/5ml รสสตรอเบอร์รี่ 60 ml (AU),ราคา 19.50 บาท
4717,IBO Suspension 60 ml (CMED),ราคา 20.00 บาท
4715,AMYN 500 mg 10X10's/กล่อง,ราคา 175.00 บาท
4712,CANDINOX Cream 20 g (CBLAB),ราคา 44.00 บาท
4711,AVAFAST 180 mg 1X10's (Millimed),ราคา 60.00 บาท
4710,LEVOCETIN 5 mg 1X10's (BIOPHARM),ราคา 55.00 บาท
4709,PEPDENAL 40 mg 20X10's (Macrophar),ราคา 225.00 บาท
4707,AMK 1000 mg 10X10's (RX),ราคา 975.00 บาท
4703,TIGER MOSQUITO สเปรย์กันยุง 120 ml (TIGER BALM),ราคา 96.00 บาท
4702,CLOTHASONE-D Cream 15 g,ราคา 40.00 บาท
4700,FLOXY 0.3% EAR Drops 5 ml (Millimed),ราคา 190.00 บาท
4698,น้ำมันเหลือง สูตรไพล ตราแม่กุหลาบ 20 ml,ราคา 80.00 บาท
4697,BRAND'S ซุปไก่สกัด 39 ml,ราคา 365.00 บาท
4696,BRAND'S ซุปไก่สกัด 65 ml,ราคา 629.00 บาท
4695,ยาน้ำสมุนไพรผสมเขากวางอ่อน ตราทวิน 500 ml,ราคา 262.00 บาท
4694,ครีมยาบรรเทาปวด ตรามวย 60 g,ราคา 59.00 บาท
4693,FLORACTO 2X7's (SANDOZ),ราคา 126.00 บาท
4692,ยาหม่องผสมเสลดพังพอน สูตร 2 ตราวังพรม 12X20g/โหล,ราคา 389.00 บาท
4690,น้ำมันเขียวผสมเสลดพังพอน สูตรเย็น ตราวังพรม 20 ml,ราคา 56.00 บาท
4689,น้ำมันเหลืองผสมไพล สูตรเย็น ตราวังพรม 20 ml,ราคา 56.00 บาท
4688,BENZYL BENZOATE เบนซิล เบนโซเอต 12X30ml ตราเสือดาว,ราคา 182.00 บาท
4687,PURIDINE 12X30ml (ศิริบัญชา),ราคา 195.00 บาท
4686,AMMONIA แอมโมเนียหอม 450 ml (วิทยาศรม),ราคา 120.00 บาท
4685,BETAMED SURGICAL SCRUB 450 ml (Medicpharma),ราคา 112.00 บาท
4684,MASK G-LUCKY 3D KIDS หน้ากากอนามัย สำหรับเด็ก สีขาว 40 ชิ้น/กล่อง,ราคา 85.00 บาท
4683,MASK G-LUCKY 3D KIDS หน้ากากอนามัย สำหรับเด็ก สีชมพู 40 ชิ้น/กล่อง,ราคา 85.00 บาท
4681,AMBRONC 30 mg 10X10's (BLHUA),ราคา 43.00 บาท
4680,CANDINOX Cream 10 g (CBLAB),ราคา 30.00 บาท
4679,POLIDENT PRO RETAINER 30's (GSK),ราคา 148.00 บาท
4677,HICEE 100 mg 50's (TAKEDA),ราคา 57.50 บาท
4676,IBUCAP 400 mg 1X10's (Millimed),ราคา 45.50 บาท
4673,BLACKMORES BIO C ACEROLA PLUS 1500 mg PACK 2X40's,ราคา 345.00 บาท
4668,HYATEAR EYE Drops น้ำตาเทียม 20X0.3ml/กล่อง (Millimed),ราคา 242.00 บาท
4667,ENTRASOL PLATINUM 400 g กลิ่นวานิลลา (BIOPHARM),ราคา 285.00 บาท
4666,COUNTERPAIN PLASTER COOL สูตรเย็น 10X4ชิ้น,ราคา 550.00 บาท
4665,COUNTERPAIN PLASTER WARM สูตรร้อน 10X4 ชิ้น,ราคา 550.00 บาท
4664,G-SURE PLUS No.M ผ้าอ้อมผู้ใหญ่ 11 ชิ้น/ห่อ,ราคา 260.00 บาท
4663,G-SURE PLUS No.L ผ้าอ้อมผู้ใหญ่ 18 ชิ้น/ห่อ,ราคา 420.00 บาท
4662,G-SURE PLUS No.M ผ้าอ้อมผู้ใหญ่ 10 ชิ้น/ห่อ,ราคา 115.00 บาท
4661,G-SURE PLUS No.M ผ้าอ้อมผู้ใหญ่ 28 ชิ้น/ห่อ,ราคา 295.00 บาท
4658,DOMPERDONE Suspension 30 ml (POLIPHARM),ราคา 15.50 บาท
4656,LANZAAR 50 mg 10X10's (BERLIN),ราคา 205.00 บาท
4652,DIFFLIS HERBAL MOUTH Spray 15 ml,ราคา 108.00 บาท
4651,AMMELTZ แผ่นประคบร้อน สำหรับปวดประจำเดือน,ราคา 26.00 บาท
4649,ONCE COMPLETE วันซ์ คอมพลีท กลิ่นนม 400 g (OTSUKA),ราคา 362.00 บาท
4648,ENSURE GOLD 400 g สูตรใหม่ HMB กลิ่นวานิลลา (Abbott),ราคา 480.00 บาท
4647,BELCID GERD Suspension 150 ml (BIOPHARM),ราคา 170.00 บาท
4642,VITAMIN C 500 mg 50X2ml/กล่อง (ATC),ราคา 265.00 บาท
4641,ยาเขียวสามฤดู ชนิดเม็ด ตราปลาคู่,ราคา 145.00 บาท
4640,PHARMICA DICLOFENAC Gel 50 g,ราคา 52.00 บาท
4639,ACTAVIA 0.1% NASAL Spray 60 sprays (SPS),ราคา 78.00 บาท
4638,COLD & ALLERGY NASAL Spray 20 ml (BERICH),ราคา 100.00 บาท
4637,MIGRANO 1X10's (POLIPHARM),ราคา 21.50 บาท
4636,DERMAXEL 10% Cream 30 g,ราคา 51.50 บาท
4632,RANCLAV 1 g (3X4's),ราคา 80.00 บาท
4631,LANZAAR 100 mg 10X10's (BERLIN),ราคา 310.00 บาท
4630,KLOBECORT MILKY Lotion 30 g (MEDMAKER),ราคา 102.00 บาท
4629,STARMOL 500 mg 100's,ราคา 56.00 บาท
4625,RHINOPLAST พลาสเตอร์ผ้า ปิดแผล 100 แผ่น/กล่อง,ราคา 33.00 บาท
4624,RHINOPLASTIC พลาสเตอร์พลาสติกสีเนื้อ ปิดแผล 100 แผ่น/กล่อง,ราคา 48.00 บาท
4623,RHINOPLASTIC พลาสเตอร์พลาสติกใส ปิดแผล 100 แผ่น/กล่อง,ราคา 44.00 บาท
4622,RHINOTAPE POROUS (1/2 inch x 10 yds) สีน้ำตาล,ราคา 26.00 บาท
4621,RHINOTAPE POROUS (1 inch x 5 yds) สีน้ำตาล,ราคา 26.00 บาท
4620,RHINOPORE FIRST AID TAPE (1/2 inch x 2.5 yds) 12 ม้วน/กล่อง,ราคา 85.00 บาท
4619,RHINOPORE FIRST AID TAPE (1 inch x 10 yds) 1 ม้วน,ราคา 34.50 บาท
4618,RHINOTAPE POROUS (1/2 inch x 10 yds) สีขาว,ราคา 26.00 บาท
4617,RHINOTAPE POROUS (1 inch x 5 yds) สีขาว,ราคา 26.00 บาท
4616,ByeBye FEVER Babies 4 แผ่น/กล่อง,ราคา 64.00 บาท
4615,SOS Plus พลาสเตอร์สำหรับปิดหูด ตาปลา 4 ชิ้น/กล่อง,ราคา 40.00 บาท
4613,Digital Thermometer ปรอทวัดไข้ดิจิตอล รุ่น MT650 Microlife,ราคา 92.00 บาท
4612,MAGESTO-F 50X10's (TAKEDA),ราคา 518.00 บาท
4611,THERMA PLAST แผ่นประคบร้อน เทอร์ม่า พลาสท์ ปิดหลัง 3 ชิ้น/กล่อง,ราคา 98.00 บาท
4610,THERMA PLAST แผ่นประคบร้อน เทอร์ม่า พลาสท์ ปิดบ่า 3 ชิ้น/กล่อง,ราคา 125.00 บาท
4608,SMECTAGO 3 g 12X10ml,ราคา 320.00 บาท
4607,TOPICORTE 0.25% Cream 5 g,ราคา 57.00 บาท
4606,AUTO Suspension 30 ml (PATAR),ราคา 12.50 บาท
4602,ไม้เท้าค้ำยันอลูมิเนียม No.M (YADA),ราคา 475.00 บาท
4601,ENSURE GOLD 800 g สูตรน้ำตาลลดลง 18% กลิ่นวานิลลา (Abbott),ราคา 865.00 บาท
4599,ชุด PPE 70 แกรม Size L,ราคา 220.00 บาท
4598,ชุด PPE 70 แกรม Size XL,ราคา 220.00 บาท
4597,MASK หน้ากากอนามัย X-MASK สีเขียว 50 ชิ้น/กล่อง,ราคา 40.00 บาท
4594,VIBEE B1-6-12 10X10's (BIOPHARM),ราคา 235.00 บาท
4593,COLD HOT GEL PACK เอ็กซ์เตอร์ 1 ชิ้น/กล่อง,ราคา 96.00 บาท
4592,BANNER HI-B FISH OIL 60's,ราคา 445.00 บาท
4591,BANNER SOY PROTEIN+LECITHIN 60's,ราคา 348.00 บาท
4590,CANESBALANCE VAGINAL Gel 7X5ml (BAYER),ราคา 289.00 บาท
4588,HOTTA ขิงเข้มข้น 126 g 14 ซอง,ราคา 99.00 บาท
4582,Digital Thermometer ปรอทวัดไข้ดิจิตอล รุ่น YT311 Yuwell,ราคา 175.00 บาท
4578,SYNOVITS Syrup 60 ml (OSi),ราคา 32.00 บาท
4575,ใบมีดผ่าตัดคาร์บอน TECHNO CUT 11 รุ่น M2-21-11 (2B),ราคา 265.00 บาท
4574,ใบมีดผ่าตัดคาร์บอน TECHNO CUT 15 รุ่น M2-21-15 (2B),ราคา 265.00 บาท
4573,COMBIF AR 1X10's,ราคา 174.00 บาท
4572,ByeBye FEVER SUPER COOL 6 แผ่น/กล่อง,ราคา 74.00 บาท
4570,MEPAGYL 400 mg 1X10's (TNP),ราคา 28.00 บาท
4568,ANALGIC 500 mg 25X10's (T.MAN),ราคา 280.00 บาท
4565,ฟ้าทะลายโจรสกัด แอนดร็อกซิล 45's (KMP),ราคา 155.00 บาท
4564,ที่ตัดยาพร้อมกล่อง รุ่น MB2004 (2B),ราคา 60.00 บาท
4563,TIGERPLAST WRIST EXTRA COMFORT SUPPORT อุปกรณ์พยุงข้อมือ,ราคา 230.00 บาท
4562,THERMA PLAST แผ่นประคบร้อน 3 ชิ้น/กล่อง,ราคา 98.00 บาท
4561,TIGERPLAST CARIFIX STRETCH (10cmX1m) 1 ม้วน/กล่อง,ราคา 98.00 บาท
4560,ENSURE GOLD 400 g สูตรใหม่ HMB กลิ่นสตรอเบอร์รี่ (Abbott),ราคา 438.00 บาท
4559,ENSURE GOLD 400 g สูตรใหม่ HMB กลิ่นช็อกโกแลต (Abbott),ราคา 438.00 บาท
4558,MASK MAG หน้ากากอนามัย สำหรับเด็ก สีเขียว 50 ชิ้น/กล่อง,ราคา 75.00 บาท
4557,ซองยาสีชา ถุงพลาสติกซิปสีชา ขนาด 8x12 ซม.,ราคา 116.00 บาท
4556,ซองยาสีชา ถุงพลาสติกซิปสีชา ขนาด 10x15 ซม.,ราคา 105.00 บาท
4555,ซองยาสีชา ถุงพลาสติกซิปสีชา ขนาด 12x18 ซม.,ราคา 105.00 บาท
4554,ซองยาใส ถุงพลาสติกซิปใส ขนาด 4x6 ซม.,ราคา 120.00 บาท
4553,ซองยาใส ถุงพลาสติกซิปใส ขนาด 5x7 ซม.,ราคา 120.00 บาท
4552,ซองยาใส ถุงพลาสติกซิปใส ขนาด 6x8 ซม.,ราคา 120.00 บาท
4551,ซองยาใส ถุงพลาสติกซิปใส ขนาด 7x10 ซม.,ราคา 120.00 บาท
4550,ซองยาใส ถุงพลาสติกซิปใส ขนาด 8x12 ซม.,ราคา 120.00 บาท
4549,ซองยาใส ถุงพลาสติกซิปใส ขนาด 9x13 ซม.,ราคา 120.00 บาท
4548,ซองยาใส ถุงพลาสติกซิปใส ขนาด 10x15 ซม.,ราคา 120.00 บาท
4547,ซองยาใส ถุงพลาสติกซิปใส ขนาด 12x17 ซม.,ราคา 120.00 บาท
4546,ซองยาใส ถุงพลาสติกซิปใส ขนาด 15x23 ซม.,ราคา 120.00 บาท
4545,PARACETAMOL 500 mg 100's (NL),ราคา 35.00 บาท
4540,Digital Thermometer ปรอทวัดไข้ ดิจิตอล LEPU-LMT11C,ราคา 115.00 บาท
4535,ผ้าก๊อซ GAUZE 2x2 inch 10 ห่อ/กล่อง (OREX),ราคา 32.00 บาท
4534,ผ้าก๊อซ GAUZE 3x3 inch 10 ห่อ/กล่อง (OREX),ราคา 58.00 บาท
4533,ผ้าก๊อซ GAUZE 4x4 inch 10 ห่อ/กล่อง (OREX),ราคา 92.50 บาท
4532,SUNMED ผ้าอ้อมผู้ใหญ่ No.L-XL 10 ชิ้น/ห่อ,ราคา 205.00 บาท
4531,SUNMED ผ้าอ้อมผู้ใหญ่ No.L-XL 24 ชิ้น/ห่อ,ราคา 315.00 บาท
4530,SUNMED ผ้าอ้อมผู้ใหญ่ No.M-L 28 ชิ้น/ห่อ,ราคา 315.00 บาท
4529,RENU BIO-TRUE มัลติเพอร์โพส 300+60 ml (B&L),ราคา 190.00 บาท
4528,DERMATIX ULTRA SCAR KIDS 5 g,ราคา 360.00 บาท
4524,MaxxLife DETOXY 10's,ราคา 175.00 บาท
4522,CYSTALINE 600 mg Effervescent 5X4's (Millimed),ราคา 168.00 บาท
4521,AMMELTZ HEAT PATCH แผ่นประคบร้อน 1 แผ่น/ซอง,เหลือ 20.00 บาท
4520,ANNOXEN-S 275 mg 2X10's (SIAM),ราคา 82.00 บาท
4519,NEWTAMOL 500 mg 100's (NL),ราคา 39.00 บาท
4517,VOCINTI 10 mg 100's (TAKEDA),"ราคา 7,518.00 บาท"
4516,ALPHA D3 0.25 mcg 50's,ราคา 423.00 บาท
4515,ALPHA D3 0.5 mcg 50's,ราคา 685.00 บาท
4514,ACTONEL 35 mg (1X4's),"ราคา 1,470.00 บาท"
4513,EXIB 60 mg 3X10's (Millimed),ราคา 430.00 บาท
4512,NIPRO SYRINGE 1 ml 100 ชุด/กล่อง,ราคา 255.00 บาท
4511,รถเข็นนั่งถ่ายอัลลอยด์ ล้อแม็ก 16 นิ้ว รุ่น THL606 (YADA),"ราคา 5,200.00 บาท"
4510,DIACERIC 50 mg 3X10's (Millimed),ราคา 325.00 บาท
4509,BELCID FORTE Sachet 30x15ml (BIOPHARM),ราคา 60.00 บาท
4508,ZIGA CAP 20 mg 14's (BERICH),ราคา 31.50 บาท
4506,เครื่องตรวจน้ำตาล TERUMO MEDISAFE FIT SMILE,"ราคา 1,750.00 บาท"
4505,COXINI 90 mg 3X10's (GPO),ราคา 376.00 บาท
4504,OSTEOTIN 1500 mg Powder 30 ซอง/กล่อง (POLIPHARM),ราคา 230.00 บาท
4499,DERZID-C Cream 15 g (UNISON),ราคา 27.50 บาท
4498,KERRA 500 mg 40's,ราคา 340.00 บาท
4497,VOCINTI 20 mg 30's (TAKEDA),"ราคา 4,272.00 บาท"
4496,Digital Thermometer ปรอทวัดไข้ ดิจิตอล รุ่น FT-09 Beurer,ราคา 135.00 บาท
4495,ไม้เท้าก้านร่มหัวตรงจับฟ้า รุ่น Y9301L-4 (TY),ราคา 180.00 บาท
4493,เทอร์โมมิเตอร์จาร์ 1x4 inch รุ่น MN-0211 (2B),ราคา 155.00 บาท
4492,AQUA KARE STERILE WATER 1000 ml (ANB),ราคา 32.00 บาท
4491,MASK หน้ากากอนามัย MIND MASK 50 ชิ้น/กล่อง,ราคา 55.00 บาท
4490,CALZA C 1500 mg รสส้ม ชนิดผง 3X10 ซอง/กล่อง,ราคา 428.00 บาท
4489,Digital Thermometer ปรอทวัดไข้ ปลายตรง,ราคา 24.00 บาท
4488,I-HERB COPOLIS MOUTH Spray 20 ml,ราคา 84.00 บาท
4487,ByeBye FEVER Children 6 แผ่น/กล่อง,ราคา 74.00 บาท
4486,ByeBye FEVER Adults 6 แผ่น/กล่อง,ราคา 74.00 บาท
4485,กรรไกรตัดไหม IRIS Eye Sciossor STR 11 cm รุ่น SA13-530 (2B),ราคา 70.00 บาท
4484,กรรไกรตัดไหม IRIS Eye Sciossor 11 cm รุ่น SA13-532 (2B),ราคา 80.00 บาท
4483,กรรไกรตัดชิ้นเนื้อ ปากตรง 15 cm รุ่น SA13-226 (2B),ราคา 120.00 บาท
4482,TISSUE FORCEP 20 cm 1x2TH รุ่น SA15-145 (2B),ราคา 125.00 บาท
4481,DRESSING FORCEP 20 cm รุ่น SA15-125 (2B),ราคา 120.00 บาท
4480,กล่องสำลี 4x3 นิ้ว พร้อมฝา รุ่น MN-0394 (2B),ราคา 215.00 บาท
4479,กล่องสำลี 5x5 นิ้ว พร้อมฝา รุ่น MN-0396 (2B),ราคา 310.00 บาท
4478,เสาน้ำเกลือ สแตนเลสแท้ ขา 4 แฉก,"ราคา 1,850.00 บาท"
4477,LIQUIPLAST ฟิล์มเคลือบปิดแผล กันน้ำ 10 g,ราคา 144.00 บาท
4476,NICORETTE 25 mg 7 แผ่น/กล่อง,ราคา 755.00 บาท
4474,PROSPAN Cough Syrup 100 ml,ราคา 161.00 บาท
4472,ENSURE 850 g กลิ่นช็อกโกแลต (Abbott),ราคา 870.00 บาท
4468,KELOSIL SILICONE SCAR Gel 10 g,ราคา 320.00 บาท
4465,MaxxLife NASIC CLEANSE เกลือผง 30X2.265g/กล่อง,ราคา 98.00 บาท
4463,TYNOR C-05 No.L อุปกรณ์ประคองไหปลาร้าระบบรอก,ราคา 330.00 บาท
4462,TYNOR C-05 No.M อุปกรณ์ประคองไหปลาร้าระบบรอก,ราคา 330.00 บาท
4461,TYNOR C-05 No.S อุปกรณ์ประคองไหปลาร้าระบบรอก,ราคา 330.00 บาท
4460,TYNOR J-14 UNI อุปกรณ์ประคองหัวไหล่,ราคา 700.00 บาท
4459,TYNOR E-03 No.L ขวา อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 630.00 บาท
4458,TYNOR E-03 No.M ขวา อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
4457,TYNOR E-03 No.S ขวา อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
4456,TYNOR C-08 CAST SHOE No.XL รองเท้าเฝือกอ่อน,ราคา 500.00 บาท
4455,TYNOR C-08 CAST SHOE No.S รองเท้าเฝือกอ่อน,ราคา 0.00 บาท
4454,TYNOR C-08 CAST SHOE No.M รองเท้าเฝือกอ่อน,ราคา 480.00 บาท
4453,TYNOR C-08 CAST SHOE No.L รองเท้าเฝือกอ่อน,ราคา 500.00 บาท
4452,TYNOR C-01 No.M อุปกรณ์พยุงแขนระบบรอก,ราคา 240.00 บาท
4451,TYNOR C-01 No.S อุปกรณ์พยุงแขนระบบรอก,ราคา 250.00 บาท
4450,TYNOR E-03 No.L ซ้าย อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 630.00 บาท
4449,TYNOR E-03 No.M ซ้าย อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
4448,TYNOR E-03 No.S ซ้าย อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
4447,TYNOR A-20 No.XL เข็มขัดพยุงครรภ์,ราคา 885.00 บาท
4446,TYNOR A-20 No.L เข็มขัดพยุงครรภ์,ราคา 900.00 บาท
4445,TYNOR A-20 No.M เข็มขัดพยุงครรภ์,ราคา 875.00 บาท
4444,TYNOR A-20 No.S เข็มขัดพยุงครรภ์,ราคา 910.00 บาท
4443,TYNOR D-07 No.XL อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 370.00 บาท
4442,TYNOR D-07 No.L อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 425.00 บาท
4441,TYNOR D-07 No.M อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 425.00 บาท
4440,TYNOR D-07 No.S อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 430.00 บาท
4439,TYNOR D-09 No.XXL อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
4438,TYNOR D-09 No.XL อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
4437,TYNOR D-09 No.M อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
4436,TYNOR D-09 No.L อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
4435,TYNOR C-19 CAST COVER ARM ที่หุ้มเฝือกแขน,ราคา 230.00 บาท
4434,TYNOR I-59 No.L อุปกรณ์พยุงไส้เลื่อน,ราคา 0.00 บาท
4433,TYNOR I-59 No.M อุปกรณ์พยุงไส้เลื่อน,ราคา 0.00 บาท
4432,TYNOR I-59 No.S อุปกรณ์พยุงไส้เลื่อน,ราคา 330.00 บาท
4431,TYNOR H-05 ลูกบอลบริหารมือ,ราคา 75.00 บาท
4430,ECHINAX 10X10's (MEGA),ราคา 940.00 บาท
4427,BRILLIOR 25 mg 56's,ราคา 634.00 บาท
4426,DENTISTE ยาสีฟัน 160 g,ราคา 232.00 บาท
4425,SMOOTH E GOLD FOAM 45 g,ราคา 108.00 บาท
4424,SMOOTH E GOLD FOAM 120 g,ราคา 292.00 บาท
4420,FLUIFORT Sachet 50X2.7g/กล่อง,"ราคา 2,040.00 บาท"
4419,ฟ้าทะลายโจรสกัด ขาวละออ 50's (KLO),ราคา 85.00 บาท
4418,ALFLOREX PROBIOTICS 30's,ราคา 710.00 บาท
4417,HERBAL EXTRA FRESH Spray 15 ml,ราคา 82.00 บาท
