รหัสสินค้า,ชื่อสินค้า,ราคา (ดิบ)
5837,SCAGEL CYBELE 50 g,ราคา 498.00 บาท
5836,FOLEY CATHETER No.18 สายปัสสาวะ 10 เส้น/กล่อง (Wellead),ราคา 170.00 บาท
5835,DENTISTE ยาสีฟัน 170 g,ราคา 310.00 บาท
5834,ขี้ผึ้งตราเก้าเอ 9A,ราคา 83.00 บาท
5826,POBALIN 75 mg 8X7's (POLIPHARM),ราคา 285.00 บาท
5825,LIVTATIN 2 mg 10X10's (POLIPHARM),ราคา 650.00 บาท
5824,GLIPTIN 100 mg 3X10's (POLIPHARM),ราคา 412.00 บาท
5823,POSTMENOP 2 mg 30's (Exeltis),ราคา 175.00 บาท
5822,จี้กงแดน ลูกอมส้มมือ รสบ๊วย 40 g,ราคา 39.50 บาท
5807,BLACKMORES BIO ZINC A CHELATE 30's,ราคา 174.00 บาท
5795,NEUROBION (6X10's),ราคา 286.00 บาท
5796,ATOZET 10/10mg 30's,"ราคา 1,865.00 บาท"
5797,VIVARINE Syrup 60 ml (TNP),ราคา 34.50 บาท
5798,ABILIFY 2 mg 3X10's (OTSUKA),"ราคา 1,300.00 บาท"
5799,STREPSIL MAXPRO 16's/กล่อง,ราคา 133.00 บาท
5800,นมอัดเม็ด รสหวาน แอมมิ้ลค์ 24 ซอง/กล่อง,ราคา 505.00 บาท
5801,BLACKMORES FISH Oil Mini 2X60's/แพ็ก,ราคา 595.00 บาท
5802,MOMETASONE NASAL Spray (SANDOZ),ราคา 515.00 บาท
5803,ACCU-CHEK Lithium BATTERY CR2032,ราคา 55.00 บาท
5804,MYDA Powder 20 g กลิ่นลาแวนเดอร์ (T.MAN),ราคา 45.00 บาท
5805,ผงปูนคลอรีน 450 g (วิทยาศรม),ราคา 165.00 บาท
5806,COMBIVENT 60X2.5ml/กล่อง,"ราคา 2,440.00 บาท"
5813,ASTAIR 5 mg Chewable 4X7's (SPS),ราคา 312.00 บาท
5819,ACC Sandoz 600 mg Effervescent กลิ่นแบล็กเบอร์รี่ 10's (SANDOZ),ราคา 134.00 บาท
5818,RHINOCET (1X10's),ราคา 83.00 บาท
5817,NEO-MUNE นีโอ-มูน กลิ่นข้าวญี่ปุ่น 400 g (OTSUKA),ราคา 418.00 บาท
5815,VISTRA OMEGA CONCENTRARE X3 RTG 30's,ราคา 394.00 บาท
5814,NEUROTEX 5X10's (FRX),ราคา 142.00 บาท
5810,ยาน้ำมันเลียงผา ตราแม่กุหลาบ 12X3ml/โหล,ราคา 228.00 บาท
5808,VISTRA L-CARRNITINE PLUS SAFFRON 30's,ราคา 372.00 บาท
5809,AMARYL 4 mg 12X10's (SANOFI),ราคา 235.00 บาท
5843,AMK ES-600 Suspension 70 ml (RX),ราคา 355.00 บาท
5844,PHARPROXIN 500 mg 10X10's/กล่อง (RX Chumchon),ราคา 285.00 บาท
5845,เครื่องชั่งน้ำหนักดิจิตอล รุ่น EB4030H (2B),ราคา 625.00 บาท
5847,FOLI- PLUS 500's (PATAR),ราคา 165.00 บาท
5896,PROVAMED RETINOL B3 ANTI ACNE MOISTURIZER 40 ml,ราคา 265.00 บาท
5895,PROVAMED SUN FLAWLESS DEFENSE SPF50 30 ml,ราคา 265.00 บาท
5894,VISTRA NEURO B 2X10's/กล่อง,ราคา 84.00 บาท
5893,VISTRA SESAMIN VITAL 30's,ราคา 485.00 บาท
5892,DUREX PLAY MASSAGE ALOE VERA 200 ml,ราคา 332.00 บาท
5891,DUREX PLAY WARMING 100 ml,ราคา 230.00 บาท
5890,DUREX PLAY สูตรฟินนาน สตรอเบอร์รี่ 100 ml,ราคา 232.00 บาท
5889,SAND-M GUMMY FIBER รสมะขามเปรี้ยว 6 ซอง/กล่อง,ราคา 174.00 บาท
5888,SOS Plus NSS NORMAL SALINE Solution แบบหยด 5 ml,ราคา 33.00 บาท
