รหัสสินค้า,ชื่อสินค้า,ราคา, ราคา ,(ดิบ)
14183,BIO C ACEROLA PLUS 1500 MG.40'S(ขายขาดไม่รับคืน),180, 180.00 ,บาท/ขวด
15911,BIO C DAILY IMU+CHEWABLE 500 MG. 30'S( คืนก่อนหมดอายุ6เดือน),187.5, 187.50 ,บาท/ขวด
10051,BIO KHAO ไบโอขาว ยาธาตุน้ำขาว 240 ML,30.5, 30.50 ,บาท/ขวด
14666,BIO MAGNESIUM ADVANCE+D3 50'Sสินค้าใหม่,305, 305.00 ,บาท/ขวด
16337,BIO SMOOTH C 600 MG. 12X 15'S,65, 65.00 ,บาท/หลอด
12383,BIO TRUE 300ML+60ML,170, 170.00 ,บาท/ขวด
15228,BIO ZINC A CHELATE 30 'S,140, 140.00 ,บาท/ขวด
14617,BIO ZINC A CHELATE 90 'S,345, 345.00 ,บาท/ขวด
15035,BIO ZINC PLUS 90'S PAN,225, 225.00 ,บาท/กล่อง
15390,BIOCLAM TAB 10X10'S,124, 124.00 ,บาท/กล่อง
12099,BIOCLAM TAB 50X10'S,9.5, 9.50 ,บาท/แผง
10622,BIOCOXIB 120 MG 5X5'S biopharm,395, 395.00 ,บาท/กล่อง
10614,BIOCOXIB 90 MG 5X5'S biopharm,390, 390.00 ,บาท/กล่อง
11238,BIOFLOR 250 10CAPSULE /กล่อง,250, 250.00 ,บาท/กล่อง
11235,BIOFLOR 250 10ซอง/กล่อง,250, 250.00 ,บาท/กล่อง
14070,BIOFRESH 15 ML สูตร kamillosan,72, 72.00 ,บาท/ขวด
14304,BIOFRESH 5 ML สูตร kamillosan,42, 42.00 ,บาท/ขวด
11242,BIOGAIA CHEWABLE TAB 10'S,322, 322.00 ,บาท/กล่อง
12799,BIO-OIL 60 ML. 375-,275, 275.00 ,บาท/ขวด
15034,BIO-OIL BODY LOTION 175 ML.,410, 410.00 ,บาท/ขวด
12803,BIO-OIL DRY SKIN GEL 50 ML.,147, 147.00 ,บาท/กระปุก
10395,BIOPHARM CALCIUM GUMMY 8'S 12 ซอง,184, 184.00 ,บาท/กล่อง
15563,BIOPHARM FIBER GUMMY SUGAR FREE 8'S 12 ซอง,184, 184.00 ,บาท/กล่อง
10392,BIOPHARM FISH OIL GUMMY 8'S 12 ซอง,184, 184.00 ,บาท/กล่อง
10393,BIOPHARM MTV GUMMY 8'S 12 ซอง,184, 184.00 ,บาท/กล่อง
10394,BIOPHARM VITAMIN C GUMMY 8'S 12 ซอง,184, 184.00 ,บาท/กล่อง
11648,BIOTIN 60'S PAN,250, 250.00 ,บาท/กระปุก
12065,BIOTON 50'S,300, 300.00 ,บาท/ขวด
13398,BIOTRIL WOW SET 1500 MG.30+10,410, 410.00 ,บาท/กล่อง
11063,BIOZOLE 150 MG. 1'S,22, 22.00 ,บาท/แผง
14970,BISMUSALATE TAB 25X10'S,24.75, 24.75 ,บาท/แผง
10396,BISOLAX 10'S 35-,21, 21.00 ,บาท/กล่อง
14864,"BISOLVON เม็ด 10x10'S, รุ่นใหม่",485, 485.00 ,บาท/กล่อง
10401,BISOLVON สำหรับเด็ก 60 ML. 65- หมดอายุ 2/2027,48, 48.00 ,บาท/ขวด
10398,BISOLVON-X 60 ml,51, 51.00 ,บาท/ขวด
10400,BISOLVON-X ELIXIR 125 ML.,98, 98.00 ,บาท/ขวด
14735,BLACK SESAME OIL-1000 3X10'S (MSP),268, 268.00 ,บาท/กล่อง
10434,BLACKMORE ASTAXANTHIN 6 MG 30'S,437, 437.00 ,บาท/ขวด
15499,BLACKMORE BILBERRY 2500 60'S,455, 455.00 ,บาท/ขวด
14685,BLACKMORE BIO C GLUTA IMU+ 30'S,475, 475.00 ,บาท/ขวด
10423,BLACKMORE BIO FOLIC ACID 90'S( คืนก่อนหมดอายุ6เดือน),257, 257.00 ,บาท/ขวด
10429,BLACKMORE BIOTIN H+ 60'S,549, 549.00 ,บาท/ขวด
16002,BLACKMORE BUFFER C 200'S,595, 595.00 ,บาท/ขวด
10405,BLACKMORE BUFFER C 31'S,115, 115.00 ,บาท/ขวด
15838,BLACKMORE BUFFER C 75'S,230, 230.00 ,บาท/ขวด
10419,BLACKMORE CALCIUM+D3 60'S( คืนก่อนหมดอายุ6เดือน),241, 241.00 ,บาท/ขวด
10431,BLACKMORE CRANBERRY 15000+C,385, 385.00 ,บาท/ขวด
10417,BLACKMORE EPO 1000 MG.60'S( คืนก่อนหมดอายุ6เดือน),420, 420.00 ,บาท/ขวด
16119,BLACKMORE EXEC'S B 120'S( คืนก่อนหมดอายุ6เดือน),663, 663.00 ,บาท/ขวด
15912,BLACKMORE EXEC'S B 30'S( คืนก่อนหมดอายุ6เดือน),218, 218.00 ,บาท/ขวด
10406,BLACKMORE EXEC'S B 60'S( คืนก่อนหมดอายุ6เดือน),354, 354.00 ,บาท/ขวด
10430,BLACKMORE FISH OIL 1000 MG แพคประหยัด,721, 721.00 ,บาท/แพค
10418,BLACKMORE FISH OIL 1000 MG.80'S(คืนก่อนหมดอายุ6เดือน),435, 435.00 ,บาท/ขวด
10432,BLACKMORE FISH OIL MINI CAPS 30'S,180, 180.00 ,บาท/ขวด
10408,BLACKMORE GINGKO 30'S( คืนก่อนหมดอายุ6เดือน),268, 268.00 ,บาท/ขวด
13400,BLACKMORE GLUCOSAMINE 1500 MG JOINTFLEX30'S,775, 775.00 ,บาท/ขวด
10422,BLACKMORE GRAPESSED FORTE 12000 30S ( คืนก่อนหมดอายุ6เดือ,495, 495.00 ,บาท/ขวด
16323,BLACKMORE JOIN PLUS 30'S (COLLAGEN UC-II),506, 506.00 ,บาท/ขวด
15705,BLACKMORE KOALA MULTIVITAMIN +MINERAL 30 'S,238, 238.00 ,บาท/ขวด
11781,BLACKMORE LECITIN 1200 MG.100'S,344, 344.00 ,บาท/ขวด
15666,BLACKMORE LUTEIN-VIS 60'S,540, 540.00 ,บาท/ขวด
10420,BLACKMORE MARINE COLLAGEN ABSOLUTE 60'S แพคคู่,2310," 2,310.00 ",บาท/แพค
10424,BLACKMORE MARINE Q 10 30'S( คืนก่อนหมดอายุ6เดือน),768, 768.00 ,บาท/ขวด
14182,BLACKMORE MTV NUTRI 50+ 30'S( คืนก่อนหมดอายุ6เดือน),285, 285.00 ,บาท/ขวด
15637,BLACKMORE MULTI ACTIVE 50'S ขนาดใหม่,414, 414.00 ,บาท/ขวด
14651,BLACKMORE MULTI ACTIVE 30'S( คืนก่อนหมดอายุ6เดือน),246, 246.00 ,บาท/ขวด
15665,BLACKMORE MULTI B 30'S ( คืนก่อนหมดอายุ6เดือน),181, 181.00 ,บาท/ขวด
10407,BLACKMORE MULTI B 60'S ( คืนก่อนหมดอายุ6เดือน),310, 310.00 ,บาท/ขวด
14092,BLACKMORE OMEGA TRIPLE DAILY 60'S,750, 750.00 ,บาท/กล่อง
13788,BLACKMORE PROBIOTIC + DAILY BALANCE 30'S,890, 890.00 ,บาท/ขวด
14825,BLACKMORE VIS'CARE PRO + LUTEIN ( คืนก่อนหมดอายุ6เดือน),456, 456.00 ,บาท/ขวด
15704,BLACKMORES CO Q10 แพคคู่ 30+30's,1013," 1,013.00 ",บาท/แพค
12433,BLISTEX LIP (BERRY BALM),94.5, 94.50 ,บาท/แท่ง
12436,BLISTEX LIP (CLASSIC),94.5, 94.50 ,บาท/แท่ง
12434,BLISTEX LIP (MINT BALM),94.5, 94.50 ,บาท/แท่ง
15956,BLISTEX LIP INFUSION,126, 126.00 ,บาท/แท่ง
16266,BLISTEX LIP INFUSION HYDRATION,158, 158.00 ,บาท/แท่ง
16154,BLIZTIN TAB 20 mg 1x10 tab (bilastine)siam,76, 76.00 ,บาท/แผง
14984,BLOOD MONITOR NEXT HEALTH (NH-881) L CUFF,800, 800.00 ,บาท/เครื่อง
14983,BLOOD MONITOR NEXT HEALTH (NH-881) NORMAL CUFF,745, 745.00 ,บาท/เครื่อง
13824,BLOOD MONITOR NISSEI DS-11 CUFF L,1050," 1,050.00 ",บาท/กล่อง
13941,BLOOD MONITOR OMRON HEM-7120,1450," 1,450.00 ",บาท/กล่อง
10442,BLOOD MONITOR OMRON HEM-7121 มี mem 30,1350," 1,350.00 ",บาท/กล่อง
10452,BLOOD MONITOR OMRON WRIST HEM-6161,1266," 1,266.00 ",บาท/กล่อง
10456,BLOPRESS 16 MG.28'S,995, 995.00 ,บาท/กล่อง
10458,BLOPRESS 16 PLUS MG.28'S,995, 995.00 ,บาท/กล่อง
10455,"BLOPRESS 8 MG,28'S",680, 680.00 ,บาท/กล่อง
10457,BLOPRESS 8 PLUS 28'S,680, 680.00 ,บาท/กล่อง
15697,BL-T920 DIGIDTAL THERMOMETER (มีเสียง บิ๊บ),100, 100.00 ,บาท/อัน
10466,BODY GUARD 1 แพคมี 12 ชิ้น 58 mm ใหม่,135, 135.00 ,บาท/แพค
10460,BODY GUARD 12 ชิ้น 54mm,1200," 1,200.00 ",บาท/กล่อง
10462,BODY GUARD 12 ชิ้น 56 mm 190-,118, 118.00 ,บาท/แพค
10465,BODY GUARD 3 ชิ้น 54 mm (1กล่อง=48เเพค)exp 01/10/22,1675," 1,675.00 ",บาท/กล่อง
10461,BODY GUARD 3 ชิ้น 56 mm 60- 1กล่องมี 48 แพค,39.5, 39.50 ,บาท/แพค
10467,BODY GUARD 3 ชิ้น 58 mm 1 กล่องมี 48 แพค,42.25, 42.25 ,บาท/แพค
10468,BONJELA 15 GM. 119-,165, 165.00 ,บาท/หลอด
15805,BOOST GLUCOSE CONTROL 800 GM.,927, 927.00 ,บาท/กระป๋อง
14119,BOOST OPTIMUM 400 GM.กลิ่นวานิลลา,399, 399.00 ,บาท/กระป๋อง
14120,BOOST OPTIMUM 800 GM.กลิ่นวานิลลา,823, 823.00 ,บาท/กระป๋อง
13095,BOSNUM 180 MG. 10'S,50.5, 50.50 ,บาท/แผง
16007,BOSNUM 60 MG. 10'S,26, 26.00 ,บาท/แผง
16282,BOTAN HERBAL DRINK CANDY เก็กฮวย ซองละ 8 เม็ด,14, 14.00 ,บาท/ซอง
14006,BOTAN HERBAL DRINK CANDY ซองละ 8 เม็ด,14, 14.00 ,บาท/ซอง
10472,BOTAN ตลับ 2 DOZ 14- ขาว,310, 310.00 ,บาท/กล่อง
10471,BOTAN แผ่น 100 ซอง 9-,11.75, 11.75 ,บาท/แผ่น
10182,BOWA GEL .240ML. รุ่นใหม่,32.75, 32.75 ,บาท/ขวด
16053,BOWA เม็ด 2x10 เม็ด,28.5, 28.50 ,บาท/กล่อง
10473,BRAND'S เล็ก,15, 15.00 ,บาท/ชิ้น
13916,BREAST MILK STORAGE BAGS 20'S (PUREEN),39, 39.00 ,บาท/กล่อง
15733,BREAST PUMP ก้านโยก(ชนิดเก็บ) สีฟ้า,176, 176.00 ,บาท/ชิ้น
10480,BREAST PUMP ทรงตรง,25, 25.00 ,บาท/ชิ้น
16211,BRINIDIN EYE DROP 0.2% 5 ML PROSS,250, 250.00 ,บาท/ขวด
16306,"BROMSTAR 1x10'S, 7S",7.75, 7.75 ,บาท/แผง
11790,BRONAL SYRUP 60 ML.,84.5, 84.50 ,บาท/ขวด
14606,BRONCHOSOL SYRUP siam,41, 41.00 ,บาท/ขวด
16665,BRONGO SYRUP 40 ML,60, 60.00 ,บาท/ขวด
16545,BRONPECT-D 50X10'S,530, 530.00 ,บาท/กล่อง
16535,BROWN MIXT 60 ML GPO ยาแก้ไอน้ำดำองค์การ ขายขาดไม่รับคืน,21.75, 21.75 ,บาท/ขวด
11613,BRUSOFT 400 MG 10'S 1กล่องมี 6 แผงโอสถอินเตอร์,255, 255.00 ,บาท/กล่อง
15913,BRUSTAN 10X10'S มีกล่อง,160, 160.00 ,บาท/กล่อง
11608,BRUSTAN 50X10'S แผงเปลือย,690, 690.00 ,บาท/กล่อง
15217,BRYGEL NS 240 ML ขวดแก้ว สีฟ้า,58, 58.00 ,บาท/ขวด
15218,BRYGEL S 240 ML ขวดแก้ว สีชมพู,58, 58.00 ,บาท/ขวด
10494,BRYGEL tab 50x10's,9.25, 9.25 ,บาท/แผง
10492,BRYGEL 240 ML ( 65-),57.25, 57.25 ,บาท/ขวด
15433,BUBBLE-X MINT 25X10'S,8.5, 8.50 ,บาท/แผง
13169,BUCANYL FOIL 50X10'S,4.5, 4.50 ,บาท/แผง
14114,BUDESONIDE AEROSOL 200MCG 200DOSE,255, 255.00 ,บาท/ขวด
11037,BUFENAC 25 MG. 1000'S,180, 180.00 ,บาท/ขวด
11046,BUFENAC 25 MG. 100X10'S ขายยกกล่อง,208, 208.00 ,บาท/กล่อง
11043,BUFENAC FORTE 500'S,195, 195.00 ,บาท/ขวด
11042,BUFENAC FORTE 50X10'S,215, 215.00 ,บาท/กล่อง
14397,BUFENAC GEL 30 GM.,20, 20.00 ,บาท/หลอด
11597,BUFLEX 400 MG. 50 X10'S,390, 390.00 ,บาท/กล่อง
11607,BUFLEX SUSPENTION มีกล่อง,20, 20.00 ,บาท/ขวด
11593,BUFLEX 400 MG 1X500'S,358, 358.00 ,บาท/ขวด
11601,BUFLEX 600 500'S,460, 460.00 ,บาท/ขวด
11609,BUFLEX 600 MG 1 กล่อง 10 'S,18, 18.00 ,บาท/กล่อง
11605,BUFLEX 600 MG.25X10'S,305, 305.00 ,บาท/กล่อง
10745,BUGA BUGA แผ่นเจลลดไข้ 4 ชิ้น,90, 90.00 ,บาท/กล่อง
15631,BURNOFF DRAGON BLOOD 7 GM nanomed,84, 84.00 ,บาท/หลอด
11463,BURNOVA GEL 100 GM,132, 132.00 ,บาท/หลอด
14393,BURNOVA GEL 35 GM,40, 40.00 ,บาท/หลอด
11462,BURNOVA GEL PLUS 25 GM,37.5, 37.50 ,บาท/หลอด
11469,BURNOVA GEL PLUS 70 GM,72.5, 72.50 ,บาท/หลอด
15308,BURNOVA GEL PLUS DRAGON'S BLOOD 20 GM,68, 68.00 ,บาท/หลอด
15474,BURNOVA GEL PLUS DRAGON'S BLOOD 50 GM,143, 143.00 ,บาท/หลอด
15419,BURNOVA GEL PLUS PEPTIDE 25 GM,45.5, 45.50 ,บาท/หลอด
11472,BURNOVA GEL PLUS PLANKTON 25 GM,47.75, 47.75 ,บาท/หลอด
11471,BURNOVA GEL PLUS SNOW ALGAE 25 GM,47.75, 47.75 ,บาท/หลอด
14713,BURRNY GEL 30 GM.,34.5, 34.50 ,บาท/หลอด
10505,BUSCOPAN 10X10'S รุ่นใหม่ ขายยกกล่อง,349, 349.00 ,บาท/กล่อง
12126,BUSONASE 64 MCG/DOSE,125, 125.00 ,บาท/ขวด
16382,BUSONINE 32 NASAL SPRAY,61, 61.00 ,บาท/ขวด
16381,BUSONINE 64 NASAL SPRAY,96, 96.00 ,บาท/ขวด
15975,BUZETIN 10x10'S,47, 47.00 ,บาท/กล่อง
10744,BYE BYE FEVER FOR ADULTS,68, 68.00 ,บาท/กล่อง
14591,BYE BYE FEVER FOR BABY 4 piece,59.75, 59.75 ,บาท/กล่อง
10730,BYE BYE FEVER FOR CHILDREN (3ซอง6ชิ้น),69, 69.00 ,บาท/กล่อง
15608,BYE BYE FEVER FOR CHILDREN (8ซอง16ชิ้น)exp 4/2026,144, 144.00 ,บาท/กล่อง
10736,BYE BYE FEVER SUPER COOL 6 แผ่น,70, 70.00 ,บาท/กล่อง
12695,BZKIN ACNE SPOT SERUM 10ml,130, 130.00 ,บาท/กล่อง
12694,BZKIN MELAVITE CREAM 15g,130, 130.00 ,บาท/กล่อง
11856,C20 180 ML. แดง CHLORHEXIDINE 0.12%,39.5, 39.50 ,บาท/ขวด
11860,C20 180 ML. ฟ้า BLUE SALLY,42.5, 42.50 ,บาท/ขวด
16664,C20 ALCOHOL FREE 180 ML. เขียว,54, 54.00 ,บาท/ขวด
14541,C20 PLUS 180 ML. เขียว,54, 54.00 ,บาท/ขวด
11272,CADEXCIN EYE DROP,20.5, 20.50 ,บาท/ขวด
10576,CADRAMINE-V 120 ML..,27.25, 27.25 ,บาท/ชิ้น
10575,CADRAMINE-V 60 ML.,19, 19.00 ,บาท/ชิ้น
13965,CAFERGOT 10'S รุ่นใหม่,58, 58.00 ,บาท/กล่อง
10512,CALADIPHEN LOTION 100ML ตราเสือดาว,27.5, 27.50 ,บาท/ขวด
10578,CALAMINE ศิริบัญชา 60 ML,14.75, 14.75 ,บาท/ขวด
14700,CALCIFEROL 10X10'S LP ขายยกกล่อง,336, 336.00 ,บาท/กล่อง
10522,CALCIUM D REDOXON (CDR) รุ่นใหม่รสส้ม 15'S,118, 118.00 ,บาท/กล่อง
15775,CALCIUM D REDOXON (CDR)แพคคู่ 2x 15'S,193, 193.00 ,บาท/แพค
11977,CALCIUM-D CAP 20'S,70, 70.00 ,บาท/ขวด
10552,CALCIUM-D CAP 60'S,180, 180.00 ,บาท/ขวด
11945,CALCIUM-D CAP 90'S,268, 268.00 ,บาท/กระป๋อง
15242,CAL-OS 30'S,75, 75.00 ,บาท/ขวด
10510,CALSOURCE 20 'S gsk เดิมคือ CAC FORTE,256, 256.00 ,บาท/หลอด
10549,CALTAB +D 30'S,47, 47.00 ,บาท/ขวด
10540,CALTRATE 600 60'S,243, 243.00 ,บาท/กล่อง
10627,CALTRATE CHEW CHOCO 20'S,150, 150.00 ,บาท/ขวด
10546,CALTRATE PLUS 30'S,177, 177.00 ,บาท/ขวด
10543,CALTRATE PLUS 60'S,309, 309.00 ,บาท/กล่อง
10547,CALTRATE SILVER 30'S,196, 196.00 ,บาท/ขวด
10545,CALTRATE SILVER 60'S,346, 346.00 ,บาท/กล่อง
10541,CALVIN PLUS D 500 SET 3X 60'S,435, 435.00 ,บาท/แพค
10535,CALZA-PLUS 750 60'S,522, 522.00 ,บาท/ขวด
15742,CAMBIC 15 10X10'S,335, 335.00 ,บาท/กล่อง
15741,CAMBIC 7.5 10X10'S,179, 179.00 ,บาท/กล่อง
11515,CAMELLA 21'S,72, 72.00 ,บาท/แผง
11516,CAMELLA 28'S,72, 72.00 ,บาท/แผง
15603,CANASONE 0.5G 1'S,62, 62.00 ,บาท/กล่อง
10557,CANASONE C.B. CREAM 15 GM.,44, 44.00 ,บาท/หลอด
10561,CANASONE C.B. CREAM 25 GM.,66, 66.00 ,บาท/หลอด
10556,CANASONE C.B. CREAM 5 GM.,21, 21.00 ,บาท/หลอด
10560,CANASONE CREAM 10 GM.,40, 40.00 ,บาท/หลอด
10562,CANAZOL-BE CREAM 5 G.,19, 19.00 ,บาท/หลอด
10563,CANAZOL-BE CRRAM 15 G.,39, 39.00 ,บาท/หลอด
10214,CANDID หู,67, 67.00 ,บาท/ขวด
14033,CANDID-V3 200MG. 3 'S,25, 25.00 ,บาท/กล่อง
11416,CANDINOX 1'S มีเครื่องมือ,22.75, 22.75 ,บาท/กล่อง
11419,CANDINOX 6 'S,16, 16.00 ,บาท/กล่อง
11418,CANDIX 15 ML.รุ่นใหม่ 72-,22, 22.00 ,บาท/ขวด
15635,CANESTEN BALANCE VAGINAL GEL 7X5ML.,285, 285.00 ,บาท/กล่อง
10564,CANESTEN CREAM 10 GM 111-,83.5, 83.50 ,บาท/หลอด
10565,CANESTEN CREAM 20 GM,143, 143.00 ,บาท/หลอด
16745,CANESTEN O.D. CREAM 1% 15 GM.,153, 153.00 ,บาท/หลอด
10566,CANESTEN VAG 100 MG. 1x6'S (193-),157, 157.00 ,บาท/หลอด
10567,CANESTEN VAG 500 MG. 1x1'S ( 208-),170, 170.00 ,บาท/หลอด
10571,CAPIROX 20 MG 10x10'S ( 1กล่องมี 10แผง),185, 185.00 ,บาท/กล่อง
15695,CAPPLAICIN GEL 30 GM.,73.5, 73.50 ,บาท/หลอด
10828,CAPSIKA GEL 100 G. 0.0125%,147, 147.00 ,บาท/หลอด
10827,CAPSIKA GEL 60 G. 0.0125%,88, 88.00 ,บาท/หลอด
15270,CAPSIKA GEL-25 0.025% 35 GM.,73.5, 73.50 ,บาท/หลอด
14834,CAPSIKA GEL-25 G. 0.025% 15 GM.,36.75, 36.75 ,บาท/หลอด
11070,CARATEN 12.5 MG 10X10'S,685, 685.00 ,บาท/กล่อง
11071,CARATEN 25 MG 10X10'S,881, 881.00 ,บาท/กล่อง
11069,CARATEN 6.25 MG 10X10'S,590, 590.00 ,บาท/กล่อง
10554,CARBOCAL-D 1000 50X10'S,15, 15.00 ,บาท/แผง
13363,CA-R-BON CAP 10X10'S,142, 142.00 ,บาท/กล่อง
16506,CA-R-BON CAP 20X20'S,445, 445.00 ,บาท/กล่อง
14548,CARBOPECT 10'S 10X10'S ขายยกกล่อง,130, 130.00 ,บาท/กล่อง
16222,CARBOPECT SYRUP 60 ML.,16.25, 16.25 ,บาท/ขวด
14512,CARBOSTAR SYRUP 60 ML (7 STAR),23, 23.00 ,บาท/ขวด
14620,CARBOTIN SYRUP 60 ML,14, 14.00 ,บาท/ขวด
13950,CARBOTIN 500 MG. 20X10'S,21.5, 21.50 ,บาท/แผง
16276,CARDELA SCAR GEL 10 GM mck,61.5, 61.50 ,บาท/หลอด
13969,CARDENOL 10 MG 100X10'S,200, 200.00 ,บาท/กล่อง
13970,CARDENOL 40 MG 100X10'S,340, 340.00 ,บาท/กล่อง
14450,CARDIPLOT 10 MG.10X10'S สูตร madiplot,283, 283.00 ,บาท/กล่อง
14449,CARDIPLOT 20 MG.10X10'S สูตร madiplot,385, 385.00 ,บาท/กล่อง
10246,CARDIPRIN 100 MG 90'S 235-,238.5, 238.50 ,บาท/กล่อง
14148,CARDOXA 2 MG 10X10'S ขายยกกล่อง,91, 91.00 ,บาท/กล่อง
10582,CARDOXA 4 MG 10X10'S,142, 142.00 ,บาท/กล่อง
10585,CARDULA XL 4 MG. 3X10'S,688, 688.00 ,บาท/กล่อง
11879,CARINOSE 10X10'S,93, 93.00 ,บาท/กล่อง
12035,CARMINATIVE 180 ML.GPO* ขายขาดไม่รับคืน,17, 17.00 ,บาท/ขวด
12037,CARMINATIVE 450 ML GPO ขายขาดไม่รับคืน,62, 62.00 ,บาท/ขวด
14109,CARYOPIN-F 25x10'S,395, 395.00 ,บาท/กล่อง
10589,CATAFLAM 25 MG. 20'S,95.5, 95.50 ,บาท/กล่อง
10591,CATAFLAM 50 MG.,166, 166.00 ,บาท/กล่อง
10588,CATANAC 50 MG 25X10'S ขายยกกล่อง,285, 285.00 ,บาท/กล่อง
15749,Cavilon barrier cream 28 g,257, 257.00 ,บาท/หลอด
15750,Cavilon barrier cream 92 g,560, 560.00 ,บาท/หลอด
15752,Cavilon no rinse skin cleanser,450.5, 450.50 ,บาท/หลอด
15751,Cavilon no sting barrier film,659.5, 659.50 ,บาท/หลอด
16472,CAVUMOX 1 GM 5X3'S,162, 162.00 ,บาท/กล่อง
10586,CAZOSIN 2 MG. 10X10'S,135, 135.00 ,บาท/กล่อง
10584,CAZOSIN 4 MG 10X10'S,410, 410.00 ,บาท/กล่อง
10344,CB-400 1'S,5.5, 5.50 ,บาท/กล่อง
14544,CB-400 6'S,19.5, 19.50 ,บาท/กล่อง
10521,CDR FORTOS 10'S,123, 123.00 ,บาท/กล่อง
15478,CEE-1000 100'S,187.5, 187.50 ,บาท/ขวด
13507,CEE-500 SWEETLETS 10X10'S T.MAN,275, 275.00 ,บาท/กล่อง
10599,CEFSPAN 10X10'S,2350," 2,350.00 ",บาท/กล่อง
14082,CELCOX 200 MG. 1X10'S SAHAKAN,42, 42.00 ,บาท/แผง
10605,CELEBREX 200 MG 1x100'S pfizer < ขายขาดไม่รับคืน>,2300," 2,300.00 ",บาท/กล่อง
16112,CELEBREX 200 MG 5'S < ขายขาดไม่รับคืน>,120, 120.00 ,บาท/แผง
16111,CELEBREX 400 MG 5'S < ขายขาดไม่รับคืน>,188, 188.00 ,บาท/แผง
10612,CELEBREX 400 MG 6X10'S < ขายขาดไม่รับคืน>,409, 409.00 ,บาท/แผง
16209,CELECOXIB T.O. 200 MG 10'S,42, 42.00 ,บาท/กล่อง
11300,CELLUFRESH 0.4 ML UD 30 DOSE,260, 260.00 ,บาท/กล่อง
10613,CELXIB 200 MG 10'S unison,49.5, 49.50 ,บาท/กล่อง
13828,CELXIB 400 MG 10'S unison,89.75, 89.75 ,บาท/กล่อง
16427,CEMOL ขาวยาว (กล่องฟ้า) 50x10's,120, 120.00 ,บาท/กล่อง
12475,CEMOL 100'S,25.75, 25.75 ,บาท/ขวด
12477,CEMOL ฟ้า ขาว 100's,26.75, 26.75 ,บาท/ขวด
15326,CENCOPAN S 50X10'S,9, 9.00 ,บาท/แผง
10629,CENTRUM 100'S,677, 677.00 ,บาท/ขวด
10626,CENTRUM 30'S รุ่นใหม่,225, 225.00 ,บาท/ขวด
10633,CENTRUM SILVER 50+ DS 90'S รุ่นใหม่,760, 760.00 ,บาท/ขวด
10632,CENTRUM SILVER 50+ DS รุ่นใหม่ 30'S,280, 280.00 ,บาท/ขวด
14838,CEPHADOL 20X10'S,380, 380.00 ,บาท/กล่อง
10603,CEPHALEX 500 MG. 10X10'S bkk,320, 320.00 ,บาท/กล่อง
11191,CERA (ORS) 4.2 gm 100 ซอง cmed,149, 149.00 ,บาท/กล่อง
11192,CERA 25 gm ผลไม้รวม 50 ซองcmed,145, 145.00 ,บาท/กล่อง
15893,CERA 25 gm รสส้ม 50 ซองcmed,148, 148.00 ,บาท/กล่อง
11194,CERA PLUS 25 gm +COLLAGEN รสMIXBERRY 10 ซองcmed,71, 71.00 ,บาท/กล่อง
11193,CERA PLUS 25 gm +MTV รสทับทิม 10 ซองcmed,71, 71.00 ,บาท/กล่อง
15121,CERAVE MOISTURISING CREAM 454 GM. ผิวแห้ง-แห้งมาก,570, 570.00 ,บาท/ขวด
15888,CERAVE MOISTURISING CREAM 454 GM. แพคคู่ ผิวแห้ง-แห้งมาก,965, 965.00 ,บาท/แพค
15120,CERAVE MOISTURISING LOTION 473 ML. ผิวธรรมดา-แห้ง,475, 475.00 ,บาท/ขวด
15889,CERAVE MOISTURISING LOTION 473 ML. แพคคู่ ผิวธรรมดา-แห้ง,780, 780.00 ,บาท/แพค
15118,CERAVE BLEMISH CONTROL CLENSER 236 ml. ทำความสะอาดผิวมันสิว,364, 364.00 ,บาท/ขวด
14598,CERAVE cream to foam cleanser 100 ml.(ล้างและเช็ดใน 1 ขั้นต,211, 211.00 ,บาท/ขวด
15517,CERAVE creamy to foam cleanser 236 ml.(ล้างและเช็ดใน 1 ขั้นต,390, 390.00 ,บาท/ขวด
15119,CERAVE FACIAL MOISTURISING LOTION 52 ML.,435, 435.00 ,บาท/ขวด
15516,CERAVE foaming cleanser 236 ml. (ขจัดความัน ต้นเหตุสิว),352, 352.00 ,บาท/ขวด
14597,CERAVE foaming cleanser 88 ml. (ขจัดความัน ต้นเหตุสิว),189, 189.00 ,บาท/ขวด
16352,CERAVE foaming cleanser 88 mll. X 6 ( BOX SET),1030," 1,030.00 ",บาท/แพค
15515,CERAVE hydrating cleanser 236 ml. ทำความสะอาดผิวแห้งมาก,312, 312.00 ,บาท/ขวด
14594,CERAVE hydrating cleanser 88 ml. ทำความสะอาดผิวแห้งมาก,141, 141.00 ,บาท/ขวด
16351,CERAVE hydrating cleanser 88 ml.X 6 ( BOX SET),790, 790.00 ,บาท/แพค
14595,CERAVE moisturising cream 50 ml. 1.69 oz เนื้อครีมเข้มข้น,143.5, 143.50 ,บาท/ขวด
16350,CERAVE moisturising cream 50 ml. X 6 ( BOX SET),810, 810.00 ,บาท/แพค
14596,CERAVE moisturising lotion 88 ml. 3 oz เนื้อโลชั่นบางเบา,185, 185.00 ,บาท/ขวด
16349,CERAVE moisturising lotion 88 ml. X 6 ( BOX SET),1030," 1,030.00 ",บาท/แพค
15229,CERAVE Resurfacing Retinol Serum 30 ml.,519, 519.00 ,บาท/ขวด
