รหัสสินค้า,ชื่อสินค้า,ราคา
8.85905E+12,ACCU-CHEK INSTANT 25'S แผ่นตรวจ(แพ็คคู่),778
4.01563E+12,ACCU-CHEK PERFORMA (ROCHE)เครื่อง,2117
8.85905E+12,ACCU-CHEK PERFORMA 25'Sx2แพ็คคู่(แผ่นตรวจ),855.75
4.01563E+12,ACCU-CHEK SAFE-T-PRO (เข็มsingle use) 200'S,760
4.01563E+12,ACCU-CHEK ปากกา(SOFTCLIX),535.25
8.85926E+12,"ACCUFAST ATK 4in1(FLU A/B, RSV, COVID)NASAL",52.75
8.85926E+12,ACCUFAST FLU A/B & RSV TEST 1'S/BX.(NASAL),46
8.85589E+12,ACDEFY ACNE GEL 10G.(SALICYLIC+TEA TREE OIL),86.75
6.97055E+12,ACE+MED DIGITAL THERMOMETER MDT 201,85
6.97204E+12,ACE+MED INFRARED THERMOMETER MDI 231,1260
7.50364E+11,ACEROLA CHERRY PLUS 30'S(THP),225
8.85406E+12,ACETATE RINGER 1000ML.(ACETAR) ANB.,44.25
8.85281E+12,ACETIN 100MG.50'S/BX L.B.S(สูตรNACLONG),116.75
8.85281E+12,ACETIN 200MG. 5G.x50'S L.B.S(สูตรNACLONG),163.25
8.85281E+12,ACEVAX 400MG. 10x10'S(ACICLOVIR)L.B.S,352
8.90603E+12,ACINET 1000MG.10'Sx5แผง/แพ็ค(AUGMENTIN),431.25
8.85712E+12,ACNA-Z 30'S(EVERFAME),339.5
9.31406E+12,ACNE-AID ANTI-ACNE SPORT GEL 10G.,123
9.31406E+12,ACNE-AID BAR.100กรัม,164.5
9.31406E+12,ACNE-AID FOAMING OIL CONTROL 100ML(แดง),140
9.31406E+12,ACNE-AID GEL CLEANSER SESN.100ML(สีฟ้า),129.25
9.31406E+12,ACNE-AID GENTLE CLEANSER 100ML.(สีฟ้า),141.5
9.31406E+12,ACNE-AID LIQ.สีแดง 50CC.,90.5
9.31406E+12,ACNE-AID LIQ.สีฟ้า500CC.(ขวดปั๊ม),435
9.31406E+12,ACNE-AID LIQUID (สีแดง) 500ML(ขวดปั๊ม),435
9.31406E+12,ACNE-AID LIQUID (สีแดง) 900ML(ขวดปั๊ม),645.5
9.31406E+12,ACNE-AID LIQUID CLEANSER 100CC.(สีแดง),141.5
9.31406E+12,ACNE-AID LIQUID สีแดง 100MLx2ขวด(แพ็คคู่),246
9.31406E+12,ACNE-AID MICELLAR WALER SESN. 235ML(สีฟ้า),181
9.31406E+12,ACNE-AID MOISTURISING OIL CONTROL 30ML.,253
8.85335E+12,ACNETIN-A 0.025 10G.(สูตรRETIN-A),39.75
8.85335E+12,ACNETIN-A 0.05 10G.(สูตรRETIN-A),43.5
8.85314E+12,ACNOCIN C 300MG.10x10'S/BX.(CLINDA)ชุมชน,342.5
8.85024E+12,ACTAVIA SPRAY 10ML.(สูตรOTRIVIN)SPS,71.75
8.85712E+12,ACTEWOUND 7x15CM.1'S./กล่อง,284.75
8.85924E+12,ACTEWOUND CLEAR 7x15CM.1'S./กล่อง,284.75
8.85924E+12,ACTEWOUND SI UV SILICONE GEL 10G.,99999
8.85712E+12,ACTEWOUND Si.7G.,206
8.85924E+12,ACTEWOUND SILICONE GEL SHEET 2.5x100CM./ม้วน,352.5
8.85924E+12,ACTEWOUND SILICONE GEL SHEET 4x15CM.(1ชิ้น),169.5
8.85924E+12,ACTEWOUND SILICONE GEL SHEET 4x6CM.(2ชิ้น),136.5
8.8592E+12,ACTOS 15MG.30'S(PIOGLITAZONE)TAKEDA,1395
8.85298E+12,ACYVIR 400 10x10'S(ACYCLOVIR)CPL.,200.75
8.90405E+12,ACZEE-50 Gel 5% 20G.(สูตร Benzac),54
8.90405E+12,ACZEEGEL 2.5% 20GM.(สูตรBenzac),47.75
8.85387E+12,ADRENALINE 50x1ML(ATC)*ขายยกกล่อง,314
8.40165E+11,AERIUS 5MG 10'S/BX,251.5
8.40165E+11,AERIUS ORAL SOLUTION 60ML.(SUGARFREE),202
8.85109E+12,AEROBIDOL INHALER 200 (สูตรBERODUAL),204.75
8.85109E+12,AERONIDE 200MCG(BUDESONIDE)AERO,207
8.85109E+12,AEROTAMOL 100MCG(สูตรVENTOLINพ่น),95.5
8.85109E+12,AEROTIDE 25/250 120DOSE (สูตร SERETIDE),458
8.85109E+12,AEROTIDE EVO.25/125 INHALER (สูตรSERETIDE),227
8.85945E+12,AIRROX 10x10'S(SIMETHICONE 80MG.),85.5
8.85267E+12,AIR-X 120 MG. 50x10'S/BX.,726.75
8.85267E+12,AIR-X 80MG 10x10'S มะนาว,122.75
8.85267E+12,AIR-X 80MG 10x10'S มิ้นท์,122.75
8.85267E+12,AIR-X 80MG 50x10'S มิ้นท์,603
8.85267E+12,AIR-X 80MG 50x10'S รสมะนาว,603
8.85267E+12,AIR-X 80MG 50x10'S ส้ม(ใหม่),603
8.85267E+12,AIR-X 80MGส้ม 10x10'S/BX.,122.75
8.85267E+12,AIR-X DROPS 15ML/ขวด,45.75
8.85267E+12,AIR-X SF 10x10'S BX.(SUGAFREE),125.5
8.85267E+12,AIR-X มะนาว 25X4'S/BX.,140.5
8.85267E+12,AIR-X มิ้นส์ 25X4'S,140.5
8.85267E+12,AIR-X ส้ม 4'Sx25/BX,140.5
8.85274E+12,A-KOOL 5ML.(SIAM),22
8.85109E+12,A-LAMINE LOTION 60ML(INPAC),18.25
8.85545E+12,ALBEMED (ALBENDAZOLE)6'Sx10/BX.,119
8.85266E+12,ALBEN 10ML (BIOPHARM),17.5
8.85266E+12,ALBEN 12ซองx10ML/BX. (BIOPHARM),184
8.85266E+12,ALBEN 200MG 2'S(แพ็คละ50แผง)(BIOPHARM),370
8.85825E+12,ALBEN-VC 1x2'S(VESCO),4.25
8.85394E+12,ALBER-T OINT. 10G.(TOLNAF+TRIACETIN),43.25
8.85083E+12,ALCO ALCOHOL HAND GEL 300ML(SKINOL),132
8.85898E+12,"ALCOBEX 10x10'S(B1,B6,B12)PML.",149
8.85112E+12,ALCOHOL 180ML(ศิริบัญชา)ลังละ4โหล,17.25
8.85112E+12,ALCOHOL 450ML ศิริบัญชา(ลัง2โหล),32.5
8.85112E+12,ALCOHOL 60ML(ศิริบัญชา)ลังละ18โหล,8.5
8.85876E+12,ALCOHOL 70% 450ML(7ดาว),80
8.85304E+12,ALCOHOL ALSOFF สเปรย์ 30ML(LP),22.75
8.85019E+12,ALCOHOL COTTON BALL 8'Sx12/กล่อง(รถพยาบาล),115
8.85112E+12,ALCOHOL GEL 220G.ขวดปั๊ม(ศิริบัญชา),47
8.85125E+12,ALCOHOL GEL 40G.(ศิริบัญชา),15.5
,ALCOHOL GEL DRY CLEAN 15ML(NANOMED),15.5
8.85922E+12,ALCOHOL GEL STELILIF 70% 450ML(ขวดสีชา),145
8.85112E+12,ALCOHOL ศิริบัญชา 30 ML.(ลังละ45โหล),6.25
8.85112E+12,ALCOHOL สเปรย์ 70% 240CC(ศิริบัญชา),37.75
8.85112E+12,ALCOHOL สเปรย์ 70% 30ML(ศิริบัญชา),30.75
8.85304E+12,ALCOHOL-LP 180ML.(ลัง6โหล),20.75
8.85304E+12,ALCOHOL-LP 30ML,5.25
8.85304E+12,ALCOHOL-LP 450ML(ลังละ2โหล),31
8.85304E+12,ALCOHOL-LP 60ML.(ลัง18โหล),6.75
8.85304E+12,ALCOHOL-LPSOFF PINK 450ML,21.5
8.85304E+12,ALCOHOL-LPSOFF PINK 60ML,7
8.85147E+12,ALDA (ALBEN 200MG.)24x1x2'S/กล่อง(TNP),293.5
8.85147E+12,ALDA SUS 10ML.(ALBEN),19
8.85286E+12,ALDACTONE 100MG.100'S/ขวด(SPIROLACTONE),1178
8.85286E+12,ALDACTONE 25G.100'S/กล่อง(SPIROLACTONE),317
9.31406E+12,ALDARA IMIQUIMOD CREAM 5% 12'Sx250MG/BX.,1786
8.85274E+12,A-LEAZE 1x10'S(สูตรXYZAL) LEVOCET.,65.5
8.85274E+12,A-LEAZE 5MG. 10x10'S(LEVOCETIRIZINE)SIAM*เลิกผลิต,676.5
8.85977E+12,ALENDRONATE SANDOZ 70MG. 4'S,756.5
8.85314E+12,ALEREST 10x10'S(สูตรZYRTEC )ชุมชน,64
8.85314E+12,ALEREST 60ML(สูตรZYRTEC )ชุมชน,25.5
8.85944E+12,ALGOGEN SYRUP 60ML.(PARA 120MG.)สอตเบอรี่,16.5
4.71084E+12,ALGYCON CHEWABLE TAB.7x12'S/BX,953
8.85014E+12,ALICIA 5000 กระเทียมสกัดชนิดเม็ด 60'S(ขาวละออ),352
8.85203E+12,ALIFLEX SPRAY 50ML(น้ำมันระกำ),122.75
4.98712E+12,ALINAMIN EX PLUS 120'S (TAKEDA) *P,603
4.98712E+12,ALINAMIN EX PLUS 60'S (TAKEDA) *P,398
8.85203E+12,ALINAMIN EX PLUS แพ็คคู่ 120'S+60'S(TAKEDA),737.75
8.85203E+12,ALINAMIN F ODORLESS 3x10'S/BX.,99999
8.85196E+12,ALINAMIN-F 10x10'S,267
8.85335E+12,ALLERAX-FC 50x10'S(HYDROX 10MG.)BKD,176.5
8.85229E+12,ALLERDRYL CR 20G(CALAMINE),36
8.85907E+12,ALLERGIA CREAM 7G.อาการคันและแพ้(N&K),72.5
8.85907E+12,ALLERGIA KID CREAM 7G.คันและแพ้(N&K),73.5
8.85147E+12,ALLERGIS ED 5 ML(TNP)/ขวด,27
8.85511E+12,ALLERGO 60ML.(สูตรZYRTEC )TCP.,27.5
8.85511E+12,ALLERGO TAB 10'S(สูตรZYRTEC ),14.5
8.85897E+12,ALLERNIX 1x10'S(LORATADINE) *P,34
8.85897E+12,ALLERNIX SYRUP 60ML(LORATADINE) *P,41
8.85956E+12,ALLER-TAB 10x10'S/BX.(LORATADINE),166.75
5.00022E+12,ALLEVYN AG NON-ADHESIVE 10x10CM.x10'S,300
8.85317E+12,ALLEX 1x10'S(LORATADINE) (B.M.),10.5
8.85317E+12,ALLEX SYRUP(LORATADINE)60ML.(B.M.),18
8.85394E+12,ALLORA 5MG.(DESLORA)10x10'Sสูตร AERIUS,478.5
8.85394E+12,ALLORA 5MG.(DESLORA)1x10'Sสูตร AERIUS,58
8.85394E+12,ALLORA 60ML (สูตร AERIUS)UNISON,55.25
8.85188E+12,ALLORIC 50x10'S(ALLOPURINOL 100MG.)TO,230
8.85343E+12,ALOE GEL 30G(THP)/หลอด,36.25
8.85907E+12,ALOHA ALOE VERA 100% 150G.,116
8.85907E+12,ALOHA ALOE VERA 100% 65G.,73.25
8.85953E+12,ALQUABUMIN ผงแอลบูมินจากไข่ ชนิดชงดื่ม 400G.,546
8.85304E+12,ALSOFF ALCOHOL PAD 200ซอง/BX.,174.5
