ชื่อสินค้า,ราคา
SMECTAGO 3 g 12X10ml,ราคา 320.00 บาท
TOPICORTE 0.25% Cream 5 g,ราคา 57.00 บาท
AUTO Suspension 30 ml (PATAR),ราคา 12.50 บาท
ไม้เท้าค้ำยันอลูมิเนียม No.M (YADA),ราคา 475.00 บาท
ENSURE GOLD 800 g สูตรน้ำตาลลดลง 18% กลิ่นวานิลลา (Abbott),ราคา 865.00 บาท
ชุด PPE 70 แกรม Size L,ราคา 220.00 บาท
ชุด PPE 70 แกรม Size XL,ราคา 220.00 บาท
MASK หน้ากากอนามัย X-MASK สีเขียว 50 ชิ้น/กล่อง,ราคา 40.00 บาท
VIBEE B1-6-12 10X10's (BIOPHARM),ราคา 235.00 บาท
COLD HOT GEL PACK เอ็กซ์เตอร์ 1 ชิ้น/กล่อง,ราคา 96.00 บาท
BANNER HI-B FISH OIL 60's,ราคา 445.00 บาท
BANNER SOY PROTEIN+LECITHIN 60's,ราคา 348.00 บาท
CANESBALANCE VAGINAL Gel 7X5ml (BAYER),ราคา 289.00 บาท
HOTTA ขิงเข้มข้น 126 g 14 ซอง,ราคา 99.00 บาท
Digital Thermometer ปรอทวัดไข้ดิจิตอล รุ่น YT311 Yuwell,ราคา 175.00 บาท
SYNOVITS Syrup 60 ml (OSi),ราคา 32.00 บาท
ใบมีดผ่าตัดคาร์บอน TECHNO CUT 11 รุ่น M2-21-11 (2B),ราคา 265.00 บาท
ใบมีดผ่าตัดคาร์บอน TECHNO CUT 15 รุ่น M2-21-15 (2B),ราคา 265.00 บาท
COMBIF AR 1X10's,ราคา 174.00 บาท
ByeBye FEVER SUPER COOL 6 แผ่น/กล่อง,ราคา 74.00 บาท
MEPAGYL 400 mg 1X10's (TNP),ราคา 28.00 บาท
ANALGIC 500 mg 25X10's (T.MAN),ราคา 280.00 บาท
ฟ้าทะลายโจรสกัด แอนดร็อกซิล 45's (KMP),ราคา 155.00 บาท
ที่ตัดยาพร้อมกล่อง รุ่น MB2004 (2B),ราคา 60.00 บาท
TIGERPLAST WRIST EXTRA COMFORT SUPPORT อุปกรณ์พยุงข้อมือ,ราคา 230.00 บาท
THERMA PLAST แผ่นประคบร้อน 3 ชิ้น/กล่อง,ราคา 98.00 บาท
TIGERPLAST CARIFIX STRETCH (10cmX1m) 1 ม้วน/กล่อง,ราคา 98.00 บาท
ENSURE GOLD 400 g สูตรใหม่ HMB กลิ่นสตรอเบอร์รี่ (Abbott),ราคา 438.00 บาท
ENSURE GOLD 400 g สูตรใหม่ HMB กลิ่นช็อกโกแลต (Abbott),ราคา 438.00 บาท
MASK MAG หน้ากากอนามัย สำหรับเด็ก สีเขียว 50 ชิ้น/กล่อง,ราคา 75.00 บาท
ซองยาสีชา ถุงพลาสติกซิปสีชา ขนาด 8x12 ซม.,ราคา 116.00 บาท
ซองยาสีชา ถุงพลาสติกซิปสีชา ขนาด 10x15 ซม.,ราคา 105.00 บาท
ซองยาสีชา ถุงพลาสติกซิปสีชา ขนาด 12x18 ซม.,ราคา 105.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
ซองยาใส ถุงพลาสติกซิปใส ขนาด 4x6 ซม.,ราคา 110.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 5x7 ซม.,ราคา 110.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 6x8 ซม.,ราคา 108.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 7x10 ซม.,ราคา 108.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 8x12 ซม.,ราคา 108.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 9x13 ซม.,ราคา 105.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 10x15 ซม.,ราคา 108.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 12x17 ซม.,ราคา 105.00 บาท
ซองยาใส ถุงพลาสติกซิปใส ขนาด 15x23 ซม.,ราคา 108.00 บาท
PARACETAMOL 500 mg 100's (NL),ราคา 35.00 บาท
Digital Thermometer ปรอทวัดไข้ ดิจิตอล LEPU-LMT11C,ราคา 115.00 บาท
ผ้าก๊อซ GAUZE 2x2 inch 10 ห่อ/กล่อง (OREX),ราคา 32.00 บาท
ผ้าก๊อซ GAUZE 3x3 inch 10 ห่อ/กล่อง (OREX),ราคา 58.00 บาท
ผ้าก๊อซ GAUZE 4x4 inch 10 ห่อ/กล่อง (OREX),ราคา 92.50 บาท
SUNMED ผ้าอ้อมผู้ใหญ่ No.L-XL 10 ชิ้น/ห่อ,ราคา 205.00 บาท
SUNMED ผ้าอ้อมผู้ใหญ่ No.L-XL 24 ชิ้น/ห่อ,ราคา 315.00 บาท
SUNMED ผ้าอ้อมผู้ใหญ่ No.M-L 28 ชิ้น/ห่อ,ราคา 315.00 บาท
RENU BIO-TRUE มัลติเพอร์โพส 300+60 ml (B&L),ราคา 190.00 บาท
DERMATIX ULTRA SCAR KIDS 5 g,ราคา 360.00 บาท
MaxxLife DETOXY 10's,ราคา 175.00 บาท
CYSTALINE 600 mg Effervescent 5X4's (Millimed),ราคา 168.00 บาท
AMMELTZ HEAT PATCH แผ่นประคบร้อน 1 แผ่น/ซอง,ราคา 23.00 บาท
ANNOXEN-S 275 mg 2X10's (SIAM),ราคา 82.00 บาท
NEWTAMOL 500 mg 100's (NL),ราคา 39.00 บาท
VOCINTI 10 mg 100's (TAKEDA),"ราคา 7,518.00 บาท"
ALPHA D3 0.25 mcg 50's,ราคา 423.00 บาท
ALPHA D3 0.5 mcg 50's,ราคา 685.00 บาท
ACTONEL 35 mg (1X4's),"ราคา 1,470.00 บาท"
EXIB 60 mg 3X10's (Millimed),ราคา 430.00 บาท
NIPRO SYRINGE 1 ml 100 ชุด/กล่อง,ราคา 255.00 บาท
รถเข็นนั่งถ่ายอัลลอยด์ ล้อแม็ก 16 นิ้ว รุ่น THL606 (YADA),"ราคา 5,200.00 บาท"
DIACERIC 50 mg 3X10's (Millimed),ราคา 325.00 บาท
BELCID FORTE Sachet 30x15ml (BIOPHARM),ราคา 60.00 บาท
ZIGA CAP 20 mg 14's (BERICH),ราคา 31.50 บาท
เครื่องตรวจน้ำตาล TERUMO MEDISAFE FIT SMILE,"ราคา 1,750.00 บาท"
COXINI 90 mg 3X10's (GPO),ราคา 376.00 บาท
OSTEOTIN 1500 mg Powder 30 ซอง/กล่อง (POLIPHARM),ราคา 230.00 บาท
DERZID-C Cream 15 g (UNISON),ราคา 27.50 บาท
KERRA 500 mg 40's,ราคา 340.00 บาท
VOCINTI 20 mg 30's (TAKEDA),"ราคา 4,272.00 บาท"
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
Digital Thermometer ปรอทวัดไข้ ดิจิตอล รุ่น FT-09 Beurer,ราคา 135.00 บาท
ไม้เท้าก้านร่มหัวตรงจับฟ้า รุ่น Y9301L-4 (TY),ราคา 180.00 บาท
เทอร์โมมิเตอร์จาร์ 1x4 inch รุ่น MN-0211 (2B),ราคา 155.00 บาท
AQUA KARE STERILE WATER 1000 ml (ANB),ราคา 32.00 บาท
MASK หน้ากากอนามัย MIND MASK 50 ชิ้น/กล่อง,ราคา 55.00 บาท
CALZA C 1500 mg รสส้ม ชนิดผง 3X10 ซอง/กล่อง,ราคา 428.00 บาท
Digital Thermometer ปรอทวัดไข้ ปลายตรง,ราคา 24.00 บาท
I-HERB COPOLIS MOUTH Spray 20 ml,ราคา 84.00 บาท
ByeBye FEVER Children 6 แผ่น/กล่อง,ราคา 74.00 บาท
ByeBye FEVER Adults 6 แผ่น/กล่อง,ราคา 74.00 บาท
กรรไกรตัดไหม IRIS Eye Sciossor STR 11 cm รุ่น SA13-530 (2B),ราคา 70.00 บาท
กรรไกรตัดไหม IRIS Eye Sciossor 11 cm รุ่น SA13-532 (2B),ราคา 80.00 บาท
กรรไกรตัดชิ้นเนื้อ ปากตรง 15 cm รุ่น SA13-226 (2B),ราคา 120.00 บาท
TISSUE FORCEP 20 cm 1x2TH รุ่น SA15-145 (2B),ราคา 125.00 บาท
DRESSING FORCEP 20 cm รุ่น SA15-125 (2B),ราคา 120.00 บาท
กล่องสำลี 4x3 นิ้ว พร้อมฝา รุ่น MN-0394 (2B),ราคา 215.00 บาท
กล่องสำลี 5x5 นิ้ว พร้อมฝา รุ่น MN-0396 (2B),ราคา 310.00 บาท
เสาน้ำเกลือ สแตนเลสแท้ ขา 4 แฉก,"ราคา 1,850.00 บาท"
LIQUIPLAST ฟิล์มเคลือบปิดแผล กันน้ำ 10 g,ราคา 144.00 บาท
NICORETTE 25 mg 7 แผ่น/กล่อง,ราคา 755.00 บาท
PROSPAN Cough Syrup 100 ml,ราคา 161.00 บาท
ENSURE 850 g กลิ่นช็อกโกแลต (Abbott),ราคา 870.00 บาท
KELOSIL SILICONE SCAR Gel 10 g,ราคา 320.00 บาท
MaxxLife NASIC CLEANSE เกลือผง 30X2.265g/กล่อง,ราคา 98.00 บาท
TYNOR C-05 No.L อุปกรณ์ประคองไหปลาร้าระบบรอก,ราคา 330.00 บาท
TYNOR C-05 No.M อุปกรณ์ประคองไหปลาร้าระบบรอก,ราคา 330.00 บาท
TYNOR C-05 No.S อุปกรณ์ประคองไหปลาร้าระบบรอก,ราคา 330.00 บาท
TYNOR J-14 UNI อุปกรณ์ประคองหัวไหล่,ราคา 700.00 บาท
TYNOR E-03 No.L ขวา อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 630.00 บาท
TYNOR E-03 No.M ขวา อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
TYNOR E-03 No.S ขวา อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
TYNOR C-08 CAST SHOE No.XL รองเท้าเฝือกอ่อน,ราคา 500.00 บาท
TYNOR C-08 CAST SHOE No.S รองเท้าเฝือกอ่อน,ราคา 0.00 บาท
TYNOR C-08 CAST SHOE No.M รองเท้าเฝือกอ่อน,ราคา 480.00 บาท
TYNOR C-08 CAST SHOE No.L รองเท้าเฝือกอ่อน,ราคา 500.00 บาท
TYNOR C-01 No.M อุปกรณ์พยุงแขนระบบรอก,ราคา 240.00 บาท
TYNOR C-01 No.S อุปกรณ์พยุงแขนระบบรอก,ราคา 250.00 บาท
TYNOR E-03 No.L ซ้าย อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 630.00 บาท
TYNOR E-03 No.M ซ้าย อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
TYNOR E-03 No.S ซ้าย อุปกรณ์พยุงข้อมือแบบมีแกน,ราคา 620.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
TYNOR A-20 No.XL เข็มขัดพยุงครรภ์,ราคา 885.00 บาท
TYNOR A-20 No.L เข็มขัดพยุงครรภ์,ราคา 900.00 บาท
TYNOR A-20 No.M เข็มขัดพยุงครรภ์,ราคา 875.00 บาท
TYNOR A-20 No.S เข็มขัดพยุงครรภ์,ราคา 910.00 บาท
TYNOR D-07 No.XL อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 370.00 บาท
TYNOR D-07 No.L อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 425.00 บาท
TYNOR D-07 No.M อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 425.00 บาท
TYNOR D-07 No.S อุปกรณ์พยุงสะบ้าหัวเข่า,ราคา 430.00 บาท
TYNOR D-09 No.XXL อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
TYNOR D-09 No.XL อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
TYNOR D-09 No.M อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
TYNOR D-09 No.L อุปกรณ์พยุงเข่าระบบรอก,ราคา 660.00 บาท
TYNOR C-19 CAST COVER ARM ที่หุ้มเฝือกแขน,ราคา 230.00 บาท
TYNOR I-59 No.L อุปกรณ์พยุงไส้เลื่อน,ราคา 0.00 บาท
TYNOR I-59 No.M อุปกรณ์พยุงไส้เลื่อน,ราคา 0.00 บาท
TYNOR I-59 No.S อุปกรณ์พยุงไส้เลื่อน,ราคา 330.00 บาท
TYNOR H-05 ลูกบอลบริหารมือ,ราคา 75.00 บาท
ECHINAX 10X10's (MEGA),ราคา 940.00 บาท
BRILLIOR 25 mg 56's,ราคา 634.00 บาท
DENTISTE ยาสีฟัน 160 g,ราคา 232.00 บาท
SMOOTH E GOLD FOAM 45 g,ราคา 108.00 บาท
SMOOTH E GOLD FOAM 120 g,ราคา 292.00 บาท
FLUIFORT Sachet 50X2.7g/กล่อง,"ราคา 2,040.00 บาท"
ฟ้าทะลายโจรสกัด ขาวละออ 50's (KLO),ราคา 85.00 บาท
ALFLOREX PROBIOTICS 30's,ราคา 710.00 บาท
HERBAL EXTRA FRESH Spray 15 ml,ราคา 82.00 บาท
HERBAL RESCUE Spray 15 ml,ราคา 82.00 บาท
HERBAL NIGHT TIME Spray 15 ml,ราคา 82.00 บาท
น้ำมันสีเขียว ตราหนูชูยศ 24 ml,ราคา 83.00 บาท
ยาน้ำแก้ไอมะแว้ง ผสมเอี๊ยะปอห่อ 120 ml (C&L),ราคา 84.00 บาท
เครื่องพ่นยา Bi-rich รุ่น BR-CN003 (2B),"ราคา 1,700.00 บาท"
STREPSILS CITRUS LEMON SUGAR FREE 6's,ราคา 32.50 บาท
TANDERON 50 mg 500's,ราคา 330.00 บาท
เครื่องวัดความดันโลหิต อัตโนมัติแบบสอดแขน SOS PLUS รุ่น FT-C26-Y,"ราคา 3,300.00 บาท"
MASK หน้ากากคาร์บอน TRUE CARE 20 ชิ้น/กล่อง,ราคา 175.00 บาท
PROVAMED NUGOW INTENSIVE HAIR Shampoo 200 ml,ราคา 188.00 บาท
พลูคาวสกัดพลัส 60's (KLO),ราคา 240.00 บาท
OPTI-FREE PURE MOIST 300 ml (Alcon),ราคา 235.00 บาท
เยนเชียนไวโอเลต สหการ 12X15ml/โหล,ราคา 85.00 บาท
COTTON BUD สำลีก้าน 100 ชิ้น (Canton),ราคา 105.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
STANDARD เฝือกพยุงคอ ชนิดอ่อน No.L (STD),ราคา 200.00 บาท
MaxxLife VIRGIN COCONUT Oil น้ำมันมะพร้าว 200 ml,ราคา 195.00 บาท
MULTIVITAMIN 1000's (TP),ราคา 245.00 บาท
CLONOVATE Cream 450 g (TO),ราคา 280.00 บาท
COGETINE Ophthalmic Ointment 5 g (GDH),ราคา 22.00 บาท
ZURTHOL 5000 ml,ราคา 800.00 บาท
ยาบรรเทาอาการฟกช้ำ ตรามือรับเหรียญทอง 30's,ราคา 46.00 บาท
BLACKMORES BIO ZINC A CHELATE 90's,ราคา 348.00 บาท
BLACKMORES LUTEIN-VIS 60's,ราคา 565.00 บาท
BLACKMORES PROBIOTICS+DAILY BALANCE 30's,ราคา 875.00 บาท
G.I.400 mg 10X10's (T.MAN),ราคา 146.00 บาท
เถาวัลย์เปรียงแคปซูล 10's (KMP),ราคา 26.00 บาท
ยาแก้ไอน้ำดำ ตรางู 3800 ml,ราคา 583.00 บาท
CORDYCEPS PLUS ตังถั่งเฉ้า อ้วยอันโอสถ 30's,ราคา 255.00 บาท
ZENZERA Suspension 200 mg 6x6x10ml/กล่อง (BKD),ราคา 385.00 บาท
เครื่องวัดความดัน CITIZEN รุ่น CHU503,"ราคา 1,590.00 บาท"
เครื่องวัดความดัน CITIZEN รุ่น CH-452-AC,"ราคา 1,190.00 บาท"
เก้าอี้อาบน้ำ รุ่น Y7982L (TY),"ราคา 1,050.00 บาท"
เก้าอี้อาบน้ำเว้ากลาง รุ่น Y796L (TY),"ราคา 1,450.00 บาท"
ที่นอนลมแบบลอน QDC-300B (YADA),"ราคา 3,800.00 บาท"
NovoPen 4 ปากกาฉีดอินซูลิน,"ราคา 1,450.00 บาท"
ที่นอนลมแบบลอน APEX DOMUS 2,"ราคา 5,400.00 บาท"
BLACKMORES BIOTIN H+ 60's,ราคา 535.00 บาท
หัดเดิน+นั่งถ่าย รุ่น Y9634L (TY),"ราคา 1,250.00 บาท"
เบาะรองที่นอนผู้ป่วยแบบตอน (YADA),"ราคา 2,600.00 บาท"
ACCU-CHEK SAFE-T-PRO UNO 200 ชิ้น/กล่อง (Roche),ราคา 770.00 บาท
VISTRA COLLAGEN TYPE-2 30's,ราคา 535.00 บาท
VISTRA FORTY PLUS 30's,ราคา 420.00 บาท
VISTRA RICE BRAN OIL 40's,ราคา 284.00 บาท
VISTRA B COMPLEX PLUS MINERALS 30's,ราคา 148.00 บาท
VISTRA GLUTA COMPLEX 1000 mg PLUS 30's,ราคา 525.00 บาท
VISTRA CLA&L-CARNITINE 1100 mg PLUS VITAMIN E 30's,ราคา 510.00 บาท
VISTRA ASTAXANTHIN 4 mg PLUS VITAMIN E 30's,ราคา 365.00 บาท
VISTRA BETA GLUCAN PLUS 30's,ราคา 442.25 บาท
BLACKMORES BIO E 500 IU 60's,ราคา 580.00 บาท
BLACKMORES HYPERIFORTE 30's,ราคา 315.00 บาท
SI-HERB DRESSING 10X10cm 1 กล่อง 3 ชิ้น,ราคา 115.00 บาท
DOMP-M 10 mg 50X10's (RX Chumchon),ราคา 8.00 บาท
VIO NERBB-B PLUS 60's (BIOPHARM),ราคา 270.00 บาท
อภัยภูเบศร เถาวัลย์เปรียง 70's,ราคา 63.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
ขมิ้นชันแคปซูล 100's (KMP),ราคา 64.00 บาท
PARINA 1000's (CPL),ราคา 343.00 บาท
GAVISCON ADVANCE PEPPERMINT กาวิสคอน 150 ml,ราคา 322.00 บาท
NIPRO IV SAFELET CATH 24G x 1 inch 50 ชิ้น/กล่อง,ราคา 590.00 บาท
ZINOR 400 mg 50X10's (PATAR),ราคา 595.00 บาท
MEZOLE 250 mg (Brywood),ราคา 69.50 บาท
PROVAMED HYAFLASH Serum 15 ml,ราคา 170.00 บาท
MEGA MULTILIVES 30's,ราคา 588.00 บาท
MEGA NUTRIVITA DAILY 30's,ราคา 248.00 บาท
MEGA ALERTEN 50 EMULCAP 30's,ราคา 488.00 บาท
CARBO-MINT 1000's,ราคา 290.00 บาท
FLEMOMILE MOUTH Spray 10 ml,ราคา 76.50 บาท
MISOVAN 30 mg 500's (TO),ราคา 156.00 บาท
CALCIUM GUMMY กลิ่นองุ่น 12X60g/กล่อง (BIOPHARM),ราคา 410.00 บาท
FUNGASIN 2% Cream 20 g (NL),ราคา 21.00 บาท
NICOTINIC ACID 50 mg 1000's (GREATER),ราคา 276.00 บาท
SUNMED แผ่นรองซับ (45x70cm) 10 แผ่น/ห่อ,ราคา 73.00 บาท
FUNGAZOL Shampoo 150 ml (BIOPHARM),ราคา 125.00 บาท
รถเข็นอัลลอยด์ ล้อแม็ก 16 นิ้ว รุ่น PHW863 (YADA),"ราคา 4,450.00 บาท"
รถเข็นอัลลอยด์ ล้อแม็ก 16 นิ้ว รุ่น THL868 (YADA),"ราคา 4,800.00 บาท"
NovoRapid FlexPen (100 U/ml) 5X3ml/กล่อง,"ราคา 2,764.00 บาท"
HAEMODY (3X10's),ราคา 167.00 บาท
VISTRA RELACZA PLUS 30's,ราคา 265.00 บาท
ร่มไม้เท้า (YADA),ราคา 960.00 บาท
HYLO-GEL EYE Drops น้ำตาเทียม 10 ml,ราคา 680.00 บาท
D-CLOXA 500 mg 50X10's (RX Chumchon),ราคา 35.00 บาท
QUIKWIPE FUKI FUKI แผ่นทำความสะอาดเลนส์แว่นตา 20 ซอง,ราคา 82.00 บาท
BLACKMORES FISH OIL 1000 mg PACK (2X80's),ราคา 694.00 บาท
BLACKMORES BIO C ACEROLA PLUS 1500 mg 40's,ราคา 238.00 บาท
CONCOR AM (5mg/5mg) 30's MERCK,ราคา 310.00 บาท
REDUCOF ยาอม รีดูคอฟ 10's,ราคา 58.00 บาท
รถเข็นอัลลอยด์ ล้อ 20 นิ้ว รุ่น THL868 (YADA),"ราคา 5,100.00 บาท"
AQUA MARIS NASAL Spray BABY 50 ml (FRX),ราคา 245.00 บาท
DIAGLIP 2 mg 10X10's (SIAM),ราคา 645.00 บาท
FLUOMIZIN Vaginal Tablets 10 mg 1X6's (Medinova),ราคา 160.00 บาท
ZEFFIX 100 mg 2X14's (GSK),ราคา 0.00 บาท
ROLLATOR 8 นิ้ว รุ่น FS965LH (YADA),"ราคา 2,480.00 บาท"
BETMIGA 50 mg 30's,"ราคา 1,985.00 บาท"
OCUSOFT LID SCRUB Original 50 ml,ราคา 320.00 บาท
OCUSOFT LID SCRUB PLUS 50 ml,ราคา 445.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
PHYSIOGEL SOOTHING CARE A.I. Cream 50 ml,ราคา 540.00 บาท
VEFLOX 500 mg 10's (RX Chumchon),ราคา 130.00 บาท
FEENOZE NASAL Spray 20 ml (Farmaline),ราคา 65.00 บาท
HumaPen Ergo 2 ปากกาอินซูลิน (Lilly),"ราคา 1,680.00 บาท"
ยางอุดหูลดเสียง (3M),ราคา 69.50 บาท
ELASTIC BANDAGE 2 inch ผ้ายืดพันเคล็ด,ราคา 110.00 บาท
ELASTIC BANDAGE 3 inch ผ้ายืดพันเคล็ด,ราคา 162.00 บาท
ELASTIC BANDAGE 4 inch ผ้ายืดพันเคล็ด,ราคา 225.00 บาท
GILOBA 120 mg 3X10's (MEGA),ราคา 332.00 บาท
MEGA PRODEFENZ (3X10's),ราคา 735.00 บาท
เครื่องผลิตออกซิเจน ขนาด 10 ลิตร ATOM รุ่น ZY-10AW (YADA),"ราคา 30,000.00 บาท"
BLACKMORES GLUCOSAMINE 500 mg 90's,ราคา 810.00 บาท
สำลีก้อนชุปแอลกอฮอล์ จำนวน 8 ก้อน x 10 แผง (OREX),ราคา 78.00 บาท
RENTEX 10 mg (10X10's),ราคา 38.00 บาท
HUMOLOG MIX 25 (100 U/ml) 5X3ml/กล่อง Lilly,"ราคา 1,520.00 บาท"
HUMULIN (70/30) 10 ml Lilly,ราคา 360.00 บาท
HUMULIN (70/30) 5X3ml/กล่อง Lilly,ราคา 774.00 บาท
VOLCLONAC Spray 60 ml (BIOPHARM),ราคา 115.00 บาท
PROPOLIZ กระชายขาว Spray 15 ml (T.MAN),ราคา 110.00 บาท
TACINOL 0.02% Cream 15 g (POLIPHARM),ราคา 31.50 บาท
CEFUROXIME 250 mg 10X10's (BKD),ราคา 745.00 บาท
DOLOBID 250 mg 10X10's (M&H),ราคา 70.00 บาท
TIDAR 4 mg 10X10's (SPS),ราคา 480.00 บาท
MYOTAB 10X10's (NL),ราคา 78.00 บาท
HAWKSONE 20 mg 10's,ราคา 13.75 บาท
SONAP FORTE 10's (SPS),ราคา 38.00 บาท
DAMINATE 10X10's (SPS),ราคา 76.00 บาท
SIALEXIN 125mg/5ml Suspension 60 ml (SIAM),ราคา 57.00 บาท
HEROMYCIN 250 mg 10's,ราคา 24.00 บาท
TRAM Lotion 60 ml (TNP),ราคา 36.25 บาท
TIGERPLAST พลาสเตอร์ใส กันน้ำ WS (25x72mm) 10 แผ่น/กล่อง,ราคา 26.00 บาท
TIGERPLAST พลาสเตอร์ใส กันน้ำ W1 (60x70mm) 3 แผ่น/กล่อง,ราคา 38.00 บาท
TIGERPLAST พลาสเตอร์ใส กันน้ำ W2 (60x100mm) 2 แผ่น/กล่อง,ราคา 35.00 บาท
TIGERPLAST พลาสเตอร์ใส กันน้ำ W3 (80x100mm) 2 แผ่น/กล่อง,ราคา 42.00 บาท
KANAMYCIN 250 mg 10X10's (Meiji),ราคา 380.00 บาท
เหลียนฮัว ชิงเวิน 24's,ราคา 205.00 บาท
BALANCE ACTIV 7X5ml (Exeltis),ราคา 265.00 บาท
ยาแคปซูลเพ็ชนาลี 50's,ราคา 230.00 บาท
PROVAMED VITAMIN E Serum 30 ml,ราคา 265.00 บาท
INTORICOXIB 90 mg 7's,ราคา 98.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
REMERON 15 mg 5X6's (MSD),ราคา 945.00 บาท
POLIDENT เม็ดฟู่ 30's (GSK),ราคา 118.00 บาท
BABINI BABY WIPES ทิชชูเปียก 80 แผ่น,ราคา 98.00 บาท
PROVAMED BABINI HEAD TO TOE WASH 480 ml,ราคา 135.00 บาท
HEROMYCIN 250 mg (25X4's),ราคา 205.00 บาท
SMOOTH E ACNE PLUS 10 g,ราคา 185.00 บาท
SMOOTH E BABYFACE Gel 165 ml,ราคา 256.00 บาท
SMOOTH E BABYFACE Gel 45 ml,ราคา 79.00 บาท
PROVAMED VITAMIN E CREAM Serum 50 g,ราคา 138.00 บาท
PROVAMED DERMA SOOTHING Cream 30 g,ราคา 298.00 บาท
PROVAMED SCARZONE STRECH MARK 200 g,ราคา 225.00 บาท
MYBACIN Spray 15 ml (GREATER),ราคา 106.00 บาท
MEGA NAT MAG 30's,ราคา 165.00 บาท
MEGA FIBER 30 ซอง/กล่อง,ราคา 513.00 บาท
B-COZE (6X10's),ราคา 230.00 บาท
ALUTA รสมิ้นท์ 240 ml (TS),ราคา 22.00 บาท
MILK OF MAGNESIA MINT 240 ml (TS),ราคา 22.00 บาท
D-PRAZOL 20 mg 14's (TNP),ราคา 32.50 บาท
DEGRAN (1X10's),ราคา 30.00 บาท
GENTEAL EYE Gel 10 g (Alcon),ราคา 162.00 บาท
PROVAMED ACEROLA C Serum 15 ml,ราคา 158.00 บาท
CLENASCAR Gel 15 g (BKD),ราคา 138.00 บาท
PROVAMED SUN FACE 30 g สีเนื้อ,ราคา 198.00 บาท
PROVAMED SUN FACE 30 g สีขาว,ราคา 198.00 บาท
MASK หน้ากากอนามัย 50 ชิ้น/กล่อง (3M),ราคา 76.00 บาท
MEDICVIT TABLET 1000's (Medicpharma),ราคา 240.00 บาท
ถุงมือแพทย์ PRO GLOVES Size M 100 ชิ้น/กล่อง,ราคา 110.00 บาท
ถุงมือแพทย์ PRO GLOVES Size S 100 ชิ้น/กล่อง,ราคา 105.00 บาท
ถุงมือแพทย์ PRO GLOVES Size L 100 ชิ้น/กล่อง,ราคา 105.00 บาท
PROVAMED POST ACNE SCAR Gel 10 g,ราคา 240.00 บาท
PROVAMED ACENE SPOT Gel 10 g,ราคา 120.00 บาท
ตลับยาครีมคละสี 10 g 100 ตลับ/แพ็ก,ราคา 80.00 บาท
ตลับยาครีมคละสี 5 g 100 ตลับ/แพ็ก,ราคา 80.00 บาท
ขวดพลาสติก 60 ml 100 ขวด/แพ็ก,ราคา 140.00 บาท
ขวดพลาสติก 120 ml 100 ขวด/แพ็ก,ราคา 152.00 บาท
ขวดพลาสติก 240 ml 100 ขวด/แพ็ก,ราคา 270.00 บาท
ขวดพลาสติก 30 ml 100 ขวด/แพ็ก,ราคา 103.00 บาท
กล่องสำลี 4 นิ้ว พร้อมฝา รุ่น MN-0392 (2B),ราคา 135.00 บาท
กล่องสำลี 4x5 นิ้ว พร้อมฝา รุ่น MN-0395 (2B),ราคา 235.00 บาท
กล่องสำลี 3 นิ้ว พร้อมฝา รุ่น MN-0391 (2B),ราคา 130.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
กล่องสำลี 5x6.5 นิ้ว พร้อมฝา รุ่น MN-0397 (2B),ราคา 340.00 บาท
ฟอร์เซปจาร์ 2x4.5 นิ้ว รุ่น MN-0212 (2B),ราคา 265.00 บาท
