ชื่อสินค้า,ราคา
ผ้ายางสำหรับขวางที่นอน SP-PD00-7101 (TA),ราคา 95.00 บาท
DUREX แอรี่ 2 ชิ้น,ราคา 55.00 บาท
CAVILON NO STING BARRIER FILM 28 ml (3M),ราคา 675.00 บาท
JUMPER PULSE OXIMETER JPD-500E,ราคา 380.00 บาท
MASK หน้ากากอนามัยสีขาว ชนิดผ้าอย่างดี (Canton),ราคา 35.00 บาท
DICLOCILLIN 500 mg 25X10's (TO),ราคา 555.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
STREPSIL MAXPRO 16's/กล่อง,ราคา 133.00 บาท
ABILIFY 2 mg 3X10's (OTSUKA),"ราคา 1,300.00 บาท"
VIVARINE Syrup 60 ml (TNP),ราคา 34.50 บาท
ATOZET 10/10mg 30's,"ราคา 1,865.00 บาท"
NEUROBION (6X10's),ราคา 286.00 บาท
GARUTO 1X10's (Macrophar),ราคา 16.00 บาท
MASAGA Cream 30 g,ราคา 17.00 บาท
KENYAI-I TABLETS 50X10's/กล่อง,ราคา 480.00 บาท
LEBREX 200 mg 10X10's/กล่อง,ราคา 410.00 บาท
EXTORANT Tablets 50X10's/กล่อง,ราคา 335.00 บาท
LARIK 75 mg 4X14's/กล่อง,ราคา 236.00 บาท
BIOKRILL 30's,ราคา 430.00 บาท
I-CETIN 25X10's (LBS),ราคา 577.00 บาท
IBUKIDS Suspension 60 ml (LBS),ราคา 17.00 บาท
ACETIN 200 mg 50X5g/กล่อง (LBS),ราคา 152.00 บาท
MEFEC 500 mg 25X10's (LBS),ราคา 263.00 บาท
G-PENTIN 300 mg 10X10's (LBS),ราคา 347.00 บาท
CAMBIC 7.5 mg 10X10's (LBS),ราคา 177.00 บาท
ACEVAX 400 mg 10X10's (LBS),ราคา 325.00 บาท
CLOMAZ Vaginal Tablets 1X6's (LBS),ราคา 21.00 บาท
MCXY KLEAR กล่อง 5X20ml/กล่อง (Millimed),ราคา 39.00 บาท
MCXY KLEAR 10X20ml/กล่อง (Millimed),ราคา 53.00 บาท
MAC-CALAC 100 ml (Macrophar),ราคา 78.00 บาท
BILAZ 1X10's (Macrophar),ราคา 75.00 บาท
ACEVAX 800 mg 5X10's (LBS),ราคา 285.00 บาท
GLUCOTRIL 1500 mg Powder 30 ซอง/กล่อง (Macrophar),ราคา 197.00 บาท
DIFAZT Gel 30 g (Macrophar),ราคา 29.00 บาท
TARACORTE SKIN Cram 15 g (Macrophar),ราคา 58.00 บาท
ITRA 100 mg 25X4's/กล่อง (Macrophar),ราคา 470.00 บาท
UMBILI ฉุนฉุน ผ้าสมุนไพร 4 ซอง/กล่อง (อัมบิลี่),ราคา 128.00 บาท
DUPHACARE 200 ml กลิ้นพลัม (Abbott),ราคา 0.00 บาท
SOS Plus SPORT TAPE (1 inch) 1 ม้วน/กล่อง,ราคา 32.00 บาท
SCAGEL ACNE Patch 20 ชิ้น/กล่อง,ราคา 34.00 บาท
SCAGEL ACNE Patch 12 ชิ้น/กล่อง,ราคา 27.00 บาท
SOS Plus แผ่นแปะซิลิโคนเคลียร์ (7x15cm) 1 ชิ้น/กล่อง,ราคา 285.00 บาท
SOS Plus แผ่นแปะซิลิโคน (2.5x100cm) 1 ม้วน/กล่อง,ราคา 360.00 บาท
TEMPRA COOLING PATCH 8 ซอง/กล่อง,ราคา 170.00 บาท
ไหมขัดฟัน Dr.PHILLIPS 50 ชิ้น/กล่อง,ราคา 28.00 บาท
CLINIBLU Suspension 60 ml (BKD),ราคา 25.00 บาท
POVIDINE 12X15ml/โหล,ราคา 110.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
DIMENHYDRINATE 100X10's/กล่อง,ราคา 210.00 บาท
FACEN SOAP 75 g (วิทยาศรม),ราคา 51.00 บาท
LEFTOSE 30 mg 50X10's/กล่อง,ราคา 920.00 บาท
NEOBUN MENTHOL PLASTER พลาสเตอร์แผ่นใหญ่ 11x8cm 6ซองX3แผ่น/กล่อง,ราคา 112.00 บาท
NEOBUN MENTHOL PLASTER พลาสเตอร์แผ่นแปะหลัง 13x12cm 6ซองX2แผ่น/กล่อง,ราคา 220.00 บาท
ยาดมสมุนไพร สูตร 1 ตราวังพรม PACK 3 กระปุก,ราคา 25.00 บาท
C-20 BLUE SALLY Mouthwash 180 ml (OSi),ราคา 44.00 บาท
ALCOHOL ALSOFF-S 1000 ml ตราเสือดาว,ราคา 63.00 บาท
FAMOC 20 mg 10X10's (BERLIN),ราคา 135.00 บาท
MOLAX Suspension 30 ml (SIAM),ราคา 46.00 บาท
VIN DROP 15 ml (PATAR),ราคา 19.00 บาท
ZECID 20 mg 10X10's (KASPA),ราคา 78.00 บาท
KLOBECORT MILKY Lotion 10 g (MEDMAKER),ราคา 40.00 บาท
SMOOTH E WHITE Serum 12 g,ราคา 270.00 บาท
HIRUSCAR SILICONE PRO 4 g (Medinova),ราคา 218.00 บาท
U-SPA 200 mg 10X10's (SPS),ราคา 330.00 บาท
CINNARIZINE 1000's (TO),ราคา 198.00 บาท
CATHERINE กลิ่นวนิลลา 16 ซอง/กล่อง,ราคา 60.50 บาท
MANOANE 1X21's,ราคา 60.00 บาท
AS C VITAMIN C 25 mg กลิ่นองุ่น 1000's,ราคา 102.00 บาท
PATARDIUM Capsule 500's (PATAR),ราคา 146.00 บาท
GASTAB 1000's (GREATER),ราคา 206.00 บาท
CEFEN 400 mg 1000's (CPL),ราคา 355.00 บาท
IMPELIUM 2 mg 1000's (TO),ราคา 235.00 บาท
B-COXIB 90 mg 3X10's (BDMS),ราคา 110.00 บาท
LH TEST ชุดทดสอบระยะการตกไข่ แบบหยด 5 ชุด/กล่อง,ราคา 150.00 บาท
TRUSLEN KERVE PLUS 18gX12ซอง,ราคา 106.00 บาท
ลูกกลิ้งนวดขมับ Cool Temp Soothing Roller Ball 5 ml (Nanomed),ราคา 0.00 บาท
อุปกรณ์ช่วยพยุงข้อเท้า ANKLE No.XL 1 ชิ้น/กล่อง (THERMOSKIN),ราคา 0.00 บาท
TIGERPLAST CLEAR พลาสเตอร์พลาสติกใส ปิดแผล จำนวน 10ชิ้นX10ซอง,ราคา 106.00 บาท
CLENASCAR C Gel 15 g (BKD),ราคา 262.00 บาท
TIGERPLAST CLEAR พลาสเตอร์พลาสติกใส ปิดแผล 25 ชิ้น/กล่อง,ราคา 0.00 บาท
TIGERPLAST CARIFIX STRETCH (10cmX10m) 1 ม้วน/กล่อง,ราคา 285.00 บาท
อุปกรณ์พยุงข้อเท้า ANKLE No.L 1 ชิ้น/กล่อง (THERMOSKIN),ราคา 0.00 บาท
SUCTION CATHETERS สายดูดเสมหะ ชนิดมีคอนโทรล No.12 50 เส้น/ห่อ,ราคา 225.00 บาท
ถุงมือยางสีส้ม ตราพอใจ Size S,ราคา 0.00 บาท
ถุงยางอนามัย ฮันนีมูน 100 ชิ้น/กล่อง,ราคา 320.00 บาท
ปลอกแขน OMRON 22-32 cm HEM-CR24,ราคา 450.00 บาท
NIPRO SCALP VEIN SET No.23 50 ชิ้น/กล่อง,ราคา 255.00 บาท
ปลอกแขน OMRON 22-42 cm HEM-RML31,ราคา 580.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
KOOLFEVER REFRESHING MINT Children 6 แผ่น/กล่อง,ราคา 78.00 บาท
เครื่องวัดความดัน TERUMO รุ่น W5200,"ราคา 2,180.00 บาท"
ยาครีมสมุนไพร ตราทับทิมแก้ว 60 g (Nanomed),ราคา 155.00 บาท
ยานวดสมุนไพร เฮื้อง เส่า เหย่า หัวใจทอง 25 ml,ราคา 80.00 บาท
โกลด์ เรดดี้ พลัส 3 ml,ราคา 372.00 บาท
TIGER BALM MOSQUITO PATCH 10 แผ่น/กล่อง,ราคา 94.00 บาท
SALONPAS พลาสเตอร์บรรเทาปวด 40 ชิ้น/กล่อง,ราคา 117.00 บาท
ตะขาบ 5 ตัว ยาขมเม็ด 3 โหล/กล่อง,ราคา 195.00 บาท
ENPOTT 500 mg 500's,ราคา 465.00 บาท
ยาอมผสมมะขามป้อม ตราแสงดาว 18 ซอง/กล่อง,ราคา 250.00 บาท
น้ำมันมะพร้าวสกัดเย็น NENT 1000 ml,ราคา 455.00 บาท
DIOXZYE 25X10's (TNP),ราคา 345.00 บาท
ยาระบายแมกนีเซียสำหรับเด็ก 60 ml (วิทยาศรม),ราคา 12.00 บาท
VISTRA IMU-PRO VITAMIN C 500 mg Lozenges 15's,ราคา 52.00 บาท
MAXLEN 70 mg 1X4's (MEGA),ราคา 330.00 บาท
DICLEGIS 10mg/10mg 2X10's (Exeltis),ราคา 320.00 บาท
BLACKMORES BIO CALCIUM+D3 120's,ราคา 465.00 บาท
AMARYL 3 mg 3X10's (SANOFI),ราคา 520.00 บาท
LOCOA 40 mg TRANSDERMAL PATCH 70 แผ่น/กล่อง,"ราคา 4,500.00 บาท"
ATOZET (10mg/20mg) 30's ORGANON,"ราคา 1,890.00 บาท"
BLACKMORES CoQ10 30's PACK 2X30's,"ราคา 1,060.00 บาท"
BLACKMORES KOALA MULTIVITAMIN+MINERAL 30's,ราคา 250.00 บาท
BLACKMORES OMEGA DHA 60's,ราคา 725.00 บาท
VISTRA BIO VITAMIN C 1000 mg 30's,ราคา 205.00 บาท
STRATAMED ADVANCED FILM-FORMING WOUND DRESSING 10 g,ราคา 925.00 บาท
STRATADERM SCAR THERAPY Gel 10 g,ราคา 785.00 บาท
BLACKMORES CHOLES-BLOC 60's,ราคา 610.00 บาท
VIMPAT 50 mg 56's,"ราคา 2,800.00 บาท"
ANDROGEL 50 mg 30 ซอง/กล่อง,"ราคา 2,260.00 บาท"
ATOZET (10mg/40mg) 30's ORGANON,"ราคา 1,990.00 บาท"
HOTTA GINGER ขิง น้ำผึ้งมานูก้า 10 ซอง/ห่อ,ราคา 86.00 บาท
ครีมบรรเทาปวด ตรามวย 12 ซอง/กล่อง,ราคา 122.00 บาท
SAFEX LACTULOSE Solution 100 ml,ราคา 82.00 บาท
SAND-M DIETOR DAY GUMMY ไดเตอร์เดย์ กัมมี่ กลิ่นแอปเปิ้ลไซเดอร์เวเนก้าร์ 6 ซอง/กล่อง,ราคา 255.00 บาท
SAND-M JELLY ME KIDS VITAMIN C 12 ซอง/กล่อง,ราคา 235.00 บาท
SAND-M JELLY ME KIDS CALCIUM L-THREONATE 12 ซอง/กล่อง,ราคา 235.00 บาท
SAND-M G'nite XS GUMMY จีไนท์ เอ็กซ์เอส กัมมี่ กลิ่นพีช 6 ซอง/กล่อง,ราคา 175.00 บาท
SAND-M DIETOR NIGHT GUMMY ไดเตอร์ไนท์ กัมมี่ กลิ่นโคล่าเลมอน 6 ซอง/กล่อง,ราคา 255.00 บาท
SAND-M G'nite EXTRA GUMMY จีไนท์ เอ็กซ์ตร้า กัมมี่ กลิ่นแบล็กเคอร์แรนต์ 6 ซอง/กล่อง,ราคา 255.00 บาท
CERAVE MOISTURISING Cream 177 ml,ราคา 362.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
TESTOS 40 mg 3x10's (Nanomed),ราคา 350.00 บาท
LUCINAR Cream 5 g (FRX),ราคา 42.00 บาท
ยาน้ำแก้ไอ ตราขันตี 100 ml,ราคา 35.00 บาท
BEROCCA IMMU D+ CD PLUS ZINC 15's กลิ่นส้ม (BAYER),ราคา 150.00 บาท
ไม้เท้าค้ำยัน 54 นิ้ว No.XXL (Canton),ราคา 240.00 บาท
ไม้เท้าค้ำยันอลูมิเนียม 50 นิ้ว 167-171cm No.L (Canton),ราคา 345.00 บาท
ไม้เท้าค้ำยันอลูมิเนียม 52 นิ้ว 172-176cm No.XL (Canton),ราคา 345.00 บาท
ไม้เท้าค้ำยันอลูมิเนียม 48 นิ้ว 160-166cm No.M (Canton),ราคา 345.00 บาท
TYNOR B-02 No.L เฝือกคอมีรูระบายอากาศ,ราคา 265.00 บาท
กระบอกตวง 1 ลิตร มีขีดบอก MN-1250 (2B),ราคา 240.00 บาท
อภัยภูเบศร มัสคูล สเปรย์ MUSCOOL SPRAY,ราคา 84.00 บาท
ALCOHOL HANDI-C 450 ml (Medicpharma),ราคา 100.00 บาท
ยาหม่องน้ำตรางู กลิ่นคลาสสิค 12X5ml/โหล,ราคา 445.00 บาท
RHINOPORE FIRST AID TAPE (1/2 inch x 5 yds),ราคา 142.00 บาท
TIGER BALM MUSCLE RUB 30 g,ราคา 54.00 บาท
MASK หน้ากากผ้า GQ สำหรับผู้ใหญ่ 1 ชิ้น/ห่อ,ราคา 135.00 บาท
BISMUSALATE 524 mg (25X10's),ราคา 620.00 บาท
PANTOPRAZOLE 40 mg 14's (TO),ราคา 325.00 บาท
HUMULIN NPH (100 IU/ml) 10 ml Lilly,ราคา 356.00 บาท
ยาบำรุงร่างกาย ตราพญานาค 100 ml,ราคา 13.00 บาท
CLINOVIR Cream 5 g (BKD),ราคา 420.00 บาท
FEITAS DICLOFENAC PATCH (7แผ่นX5ซอง),ราคา 930.00 บาท
CARBOSOL Syrup 60 ml (SEVEN STARS),ราคา 24.00 บาท
FLOWAMED 1500 mg Powder กลิ่นส้ม 30 ซอง/กล่อง (Millimed),ราคา 290.00 บาท
CAVILON DURABLE BARRIER Cream 92 g (3M),ราคา 575.00 บาท
UMBILI GENTLE OIL Serum 12 ml (อัมบิลี่),ราคา 100.00 บาท
UMBILI GENTLE OIL G6PD Serum 10 ml (อัมบิลี่),ราคา 100.00 บาท
CERAVE MOISTURISING Lotion 236 ml,ราคา 459.00 บาท
ชุดนวดสมุนไพร ตราเฌอเอม,ราคา 192.00 บาท
UMBILI AIR AROMATHERAPY Spray 100 ml (อัมบิลี่),ราคา 100.00 บาท
UMBILI ยาดม ตราฉุนฉุน 6 ชิ้น/แผง (อัมบิลี่),ราคา 162.00 บาท
อภัยภูเบศร ครีมบัวบก 10 g,ราคา 25.00 บาท
GINK CHOLINE PLUS 30's,ราคา 175.00 บาท
MEGA PRODEFENZ 30 Sachets,ราคา 735.00 บาท
HIMALAYA UNDER EYE Cream 15 ml,ราคา 110.00 บาท
ซองยาใส ขนาด 20x30 ซม. (1 กิโลกรัม),ราคา 108.00 บาท
หลอดหยดยา จุกส้ม,ราคา 33.00 บาท
GLUCOCHEK EASY PRO TEST STRIPS แผ่นตรวจน้ำตาล 50 ชิ้น/กล่อง,ราคา 645.00 บาท
TYNOR J-03 UNI พยุงข้อมือมีแกน,ราคา 260.00 บาท
CERAVE SA SMOOTHING CLEANSER 88 ml,ราคา 196.00 บาท
บริษัท วรมิตร ดรัก เซ็นเตอร์ จำกัด,
ติดต่อเราได้ที่,
SMOOTH E NEW SKIN LIQUID PLASTER 4 ml,ราคา 68.00 บาท
SUDOCREM MOISTURIZING Cream 125 g (TEVA),ราคา 275.00 บาท
เวลเดนท์ ยาสีฟัน สูตรสมุนไพร 100 g (VELDENT),ราคา 86.00 บาท
PROVAMED ANTI ACNE FACIAL TONER 200 ml,ราคา 152.00 บาท
SAND-M GUMMY FIBER กลิ่นแอปเปิ้ลเขียว 6 ซอง/กล่อง,ราคา 176.00 บาท
CERAVE MOISTURISING Lotion 473 ml,ราคา 485.00 บาท
HIRUSCAR ULTRA SCAR CARE Gel 20 g (Medinova),ราคา 390.00 บาท
สายให้อาหาร DUODENAL TUBE 125 cm No.14 (M2-35-14),ราคา 10.00 บาท
CERAVE FACIAL MOISTURISING Lotion 52 ml,ราคา 425.00 บาท
PROVAMED GOTU KOLA CLEANSING Gel 120 ml,ราคา 143.00 บาท
ยาดมส้มมือจรุงจิต PACK 3 หลอด,ราคา 125.00 บาท
HOTTA GINGER 100% ขิง 10 ซอง/ห่อ,ราคา 77.00 บาท
BROMHEX 1000's (T.MAN),ราคา 110.00 บาท
CETAPHIL 1000 ml,ราคา 779.00 บาท
TONAF-B Cream 5 g,ราคา 32.00 บาท
DERMIX-4 Cream 25 g,ราคา 63.00 บาท
DURAN 600 mg 10's (TNP),ราคา 26.50 บาท
MYBACIN มายบาซิน โอทีซี รสมะนาว 20X8's (GREATER),ราคา 9.20 บาท
จุ๊บจั๊บ เม็ดอมโพรโพลิส น้ำผึ้งมะนาว 24 ซอง (JoobJub),ราคา 432.00 บาท
ALLORIC (50X10's),ราคา 235.00 บาท
CALTAB 1500 mg 10X10's (Millimed),ราคา 128.00 บาท
ACCU-CHEK FASTCLIX ปากกา (Roche),ราคา 375.00 บาท
เครื่องพ่นยา OMRON รุ่น NE-C28,"ราคา 2,250.00 บาท"
เครื่องชั่งน้ำหนักดิจิตอล รุ่น TOC01-GR,ราคา 530.00 บาท
BD ULTRA-FINE II 1 ml 0.25mm (31G) 100 ชิ้น/กล่อง,ราคา 513.00 บาท
TYNOR C-16 CAST COVER LEG ที่หุ้มเฝือกขา,ราคา 495.00 บาท
D THROAT ดีโทรท สเปรย์ (0.3%) กลิ่นมิ้นท์ 15 ml STADA,ราคา 162.00 บาท
HAARLON REVITALIZING HAIR Serum 4X8ml,ราคา 545.00 บาท
ISOKEAN NASAL Wash 20 ซอง/ชุด (HOFCARE),ราคา 170.00 บาท
TIGERPLAST BLUE 100 ชิ้น/กล่อง,ราคา 325.00 บาท
COLOSURE 6X50g/กล่อง,ราคา 358.00 บาท
ยาสีฟัน นายเฮิร์บ 60 g,ราคา 60.00 บาท
ยาสีฟัน นายเฮิร์บ 30 g,ราคา 45.00 บาท
CERAVE RETINOL Serum 30 ml,ราคา 530.00 บาท
VISTRA DAILY PLANT PROTEIN 10 ซอง/กล่อง,ราคา 344.00 บาท
SAND-M G'nite GUMMY BEAUTI COLLAGEN จีไนท์ กลิ่นราสป์เบอร์รี่ 6 ซอง/กล่อง,ราคา 176.00 บาท
NIPRO IV SAFELET CATH 24G x 3/4 inch 50 ชิ้น/กล่อง,ราคา 590.00 บาท
MEGA FEMOSA (3X10's),ราคา 408.00 บาท
